time,pos_x,pos_y,pos_z,rot_0,rot_1,rot_2,rot_3,throttle,steering
8.263999938964844,27.54666519165039,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.268000602722168,27.560001373291016,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.272000312805176,27.573333740234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.276000022888184,27.586666107177734,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.280000686645508,27.60000228881836,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.284000396728516,27.61333465576172,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.288000106811523,27.626667022705078,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.292000770568848,27.64000129699707,0.0,0.0,0.0,0.0,0.0,1.0,0.05333709716796875,0.0
8.296000480651855,27.65333366394043,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.300000190734863,27.66666603088379,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.304000854492188,27.680002212524414,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.308000564575195,27.693334579467773,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.312000274658203,27.706666946411133,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.315999984741211,27.719999313354492,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.320000648498535,27.733335494995117,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.324000358581543,27.746667861938477,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.32800006866455,27.760000228881836,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.332000732421875,27.773334503173828,0.0,0.0,0.0,0.0,0.0,1.0,0.05333709716796875,0.0
8.336000442504883,27.786666870117188,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.34000015258789,27.799999237060547,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.344000816345215,27.813335418701172,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.348000526428223,27.82666778564453,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.35200023651123,27.84000015258789,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.355999946594238,27.85333251953125,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.360000610351562,27.866668701171875,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.36400032043457,27.880001068115234,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.368000030517578,27.893333435058594,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.372000694274902,27.906667709350586,0.0,0.0,0.0,0.0,0.0,1.0,0.05333709716796875,0.0
8.37600040435791,27.920000076293945,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.380000114440918,27.933332443237305,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.384000778198242,27.94666862487793,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.38800048828125,27.96000099182129,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.392000198364258,27.97333335876465,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.396000862121582,27.986669540405273,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.40000057220459,28.000001907348633,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.404000282287598,28.013334274291992,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.407999992370605,28.02666664123535,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.41200065612793,28.040000915527344,0.0,0.0,0.0,0.0,0.0,1.0,0.05333709716796875,0.0
8.416000366210938,28.053333282470703,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.420000076293945,28.066665649414062,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.42400074005127,28.080001831054688,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.428000450134277,28.093334197998047,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.432000160217285,28.106666564941406,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.43600082397461,28.12000274658203,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.440000534057617,28.13333511352539,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.444000244140625,28.14666748046875,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.447999954223633,28.15999984741211,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.452000617980957,28.1733341217041,0.0,0.0,0.0,0.0,0.0,1.0,0.05333709716796875,0.0
8.456000328063965,28.18666648864746,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.460000038146973,28.19999885559082,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
8.464000701904297,28.213335037231445,0.0,0.0,0.0,0.0,0.0,1.0,0.0533447265625,0.0
8.468000411987305,28.226667404174805,0.0,0.0,0.0,0.0,0.0,1.0,0.0533294677734375,0.0
