episode,steps,episode_reward,avg_pos_error,actor_loss,critic_loss,alpha
1.0,200.0,-1533.3210515787039,2.2596710008382797,0.0,0.0,0.09999999403953552
2.0,129.0,-1442.6539861378217,2.3112040661102116,0.0,0.0,0.09999999403953552
3.0,200.0,-1301.6858541015124,1.9282161763310433,1.9814345061779022,166.42633005777995,0.09968254715204239
4.0,200.0,-857.4096287558511,1.612006005346775,4.967549078464508,74.99639642715454,0.09762347489595413
5.0,124.0,-857.1045964299088,2.1326190658634707,5.749682941436768,54.49244557380676,0.0964183360338211
6.0,130.0,-1126.8461144306777,2.329861095776925,6.480257935523987,45.4261997795105,0.09520675987005234
7.0,114.0,-1445.2980774820487,2.4513826835573767,7.37315819978714,43.220709276199344,0.09418932348489761
8.0,200.0,-1063.2655833072777,2.3096510630846026,9.173044993877411,41.67185225486755,0.0924631804227829
9.0,200.0,-1049.7186175802442,1.558186921775341,10.616920371055603,29.623939838409424,0.09070652723312378
10.0,200.0,-1378.2813194146886,1.8548376992344857,11.819498782157899,24.60112950325012,0.088935986161232
11.0,128.0,-1028.630748429148,2.1398404096253216,12.75145785331726,21.87646731376648,0.0878283753991127
12.0,200.0,-1003.5706932049418,2.0032319658994675,14.036464624404907,19.710479664802552,0.08615060895681381
13.0,200.0,-841.7840271483917,1.2976284459233285,15.319554986953735,17.19694415330887,0.08454018086194992
14.0,200.0,-910.2293824653393,1.3962678265571595,16.316974816322325,14.940152387619019,0.08296315371990204
15.0,128.0,-784.5017360062249,2.36770175723359,17.088478331565856,14.302271295785904,0.08199087530374527
16.0,200.0,-2412.519297274901,2.072956010103226,18.547891845703123,12.386009595394135,0.08052226901054382
17.0,111.0,-721.6469656926444,2.177662398364093,19.38563892364502,11.143859585523606,0.0797211155295372
18.0,200.0,-1963.6444589996818,2.236145271062851,20.736834115982056,11.019549481868744,0.07832646369934082
19.0,200.0,-924.2453916348079,1.5891018146276474,22.206219177246094,10.286038304567336,0.07695182412862778
20.0,176.0,-959.8547618056022,2.1453712206672537,23.159036016464235,9.911135218143464,0.07580239325761795
21.0,200.0,-852.5641579527148,1.4959172397851943,24.24384355545044,9.665375204384327,0.07452303171157837
22.0,200.0,-817.5167983467605,1.3146883884072305,25.178234338760376,9.727906567454339,0.07328914850950241
23.0,200.0,-934.9369038385105,1.5655285793542861,26.251241064071657,10.132947311103344,0.07206036150455475
24.0,133.0,-664.1680999089049,2.1172394563156858,26.9825049495697,9.826935236752034,0.07125930488109589
25.0,165.0,-1826.9783850699694,2.432798844666192,27.790990037918093,11.253848942518234,0.07025475800037384
26.0,200.0,-886.4915743608668,1.757147257477045,28.6777982711792,12.2025043207407,0.06905295699834824
27.0,200.0,-1118.7314447861327,1.6540770521759987,29.864788198471068,11.115490413308144,0.06790506839752197
28.0,115.0,-1042.9281911170135,2.142511086360268,30.533417139053345,12.810283834934234,0.06725664436817169
29.0,200.0,-2347.613509361511,2.4566550993919374,31.841166439056398,13.505627518296242,0.06618338823318481
30.0,126.0,-1193.858680130159,2.200230800206699,33.07879057884216,15.372704098820686,0.06554406881332397
31.0,97.0,-433.5128185592449,2.1623904133580396,33.75493836402893,15.003085277080537,0.06506546586751938
32.0,82.0,-745.0695345739895,2.1195726856225874,34.18958867073059,15.28897255897522,0.06467152386903763
33.0,200.0,-845.9459215825165,1.8036850942671299,34.87917816162109,17.349755779504775,0.06383589655160904
34.0,200.0,-752.9069456691168,1.483145360648632,36.06704421043396,18.01171456813812,0.06299290806055069
35.0,136.0,-1464.48440363526,2.2379271979717648,36.78196725845337,20.721230354309082,0.062418513000011444
36.0,200.0,-687.4648626397731,1.0005486863851547,37.95017063140869,21.79010721564293,0.06159806251525879
37.0,191.0,-1285.2254134806442,2.1109316998127245,38.691648159027096,20.374981508255004,0.06082746759057045
38.0,180.0,-1076.3883541570203,2.24879298110803,39.74957111358643,23.451580418348314,0.06014224514365196
39.0,200.0,-1042.2582021382584,2.1891388583183287,40.86378141403198,24.41184543251991,0.059349264949560165
40.0,110.0,-544.0325383054394,2.1551297323270275,41.25425806045532,25.27880730032921,0.05895102769136429
41.0,200.0,-1221.4557980811253,2.5318006855249404,42.43415073394775,28.147339670658113,0.05827062949538231
42.0,91.0,-486.3687516886073,2.234443167408744,42.91371404647827,29.687631061077116,0.057985637336969376
43.0,200.0,-2420.6110103339824,2.0808830854296683,44.09983642578125,35.27457771539688,0.0573677197098732
44.0,200.0,-2462.866095434231,2.2800600466132166,45.39614366531372,30.413670040369034,0.05677854269742966
45.0,134.0,-1124.3282239811433,2.3144043532770073,46.42814456939697,33.4438680434227,0.056416407227516174
46.0,190.0,-2299.5086420238154,2.2596095147885773,48.0634556388855,34.93333709836006,0.055880963802337646
47.0,190.0,-769.8240354366762,1.8076497197151185,49.154430084228515,38.518391083478924,0.05541485175490379
48.0,200.0,-849.5154772237931,1.751884850561619,50.28286344528198,42.75711546421051,0.05503583699464798
49.0,200.0,-2360.0772777704015,1.8336233207583428,51.100972995758056,46.46083247900009,0.05473349615931511
50.0,200.0,-1043.567253051613,2.348746248483658,52.93803314208984,45.08257509231567,0.0544290654361248
51.0,179.0,-1835.7070978166648,1.7411975098055834,53.96058851242066,44.8449312210083,0.05419839918613434
52.0,96.0,-650.2354250159134,2.4002500319232545,54.42708660125732,50.05735000371933,0.05409920960664749
53.0,163.0,-1486.20169508406,2.6325171681269546,55.502593231201175,57.66631348371506,0.0539463646709919
54.0,200.0,-832.4930588450152,1.555508697628975,56.72584741592407,56.4498723244667,0.05383365601301193
55.0,200.0,-1770.7788880313,2.059265521466732,57.922718620300294,63.27951835155487,0.05370490998029709
56.0,140.0,-1053.1219173168333,2.330126477139337,59.03955997467041,67.38662057876587,0.053724631667137146
