episode,mean_reward,mean_pos_error
20.0,-8.531003851725218,1.7748771905899048
40.0,-8.172030188502548,2.26086688041687
60.0,-11.750335133394262,2.169016122817993
80.0,-7.916316613622097,2.118267297744751
100.0,-7.980096675525174,2.060009717941284
120.0,-9.784172087447274,2.084298610687256
140.0,-5.799369516320469,1.7685643434524536
160.0,-12.350945068810933,2.412766933441162
180.0,-6.127867901334518,2.4484081268310547
200.0,-10.40419147782088,2.1784448623657227
220.0,-5.678002500936327,1.832632303237915
240.0,-7.586236842622538,2.03989839553833
