frame,time,mode,selected_model,action_throttle,action_steer,carla_pos_x,carla_pos_y,carla_pos_z,carla_yaw_deg,carla_rot_0,carla_rot_1,carla_rot_2,carla_rot_3,speed_mps,model_pos_x,model_pos_y,model_pos_z,model_rot_0,model_rot_1,model_rot_2,model_rot_3,pred_delta_0,pred_delta_1,pred_delta_2,pred_delta_3
14,0.7000000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.34030094742774963,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.35500088334083557,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
15,0.75,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.3256010115146637,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.34030094742774963,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
16,0.8,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.31090107560157776,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.3256010115146637,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
17,0.8500000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.2962011396884918,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.31090107560157776,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
18,0.9,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.2815012037754059,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.2962011396884918,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
19,0.9500000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.26680126786231995,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.2815012037754059,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
20,1.0,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.252101331949234,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.26680126786231995,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
21,1.05,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.23740138113498688,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.252101331949234,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
22,1.1,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.22270141541957855,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.23740138113498688,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
23,1.1500000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.20800143480300903,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.22270141541957855,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
24,1.2000000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.1933014690876007,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.20800143480300903,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
25,1.25,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.1786014884710312,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.1933014690876007,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
26,1.3,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.16390152275562286,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.1786014884710312,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
27,1.35,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.14920154213905334,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.16390152275562286,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
28,1.4000000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.13450156152248383,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.14920154213905334,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
29,1.4500000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.1198015958070755,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.13450156152248383,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
30,1.5,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.10510162264108658,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.1198015958070755,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
31,1.55,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.09040164947509766,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.10510162264108658,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
32,1.6,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.07570167630910873,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.09040164947509766,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
33,1.6500000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.06924224644899368,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.1960710883950226,-24.471010208129883,0.07570167630910873,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
34,1.7000000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.06326236575841904,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.17995887995201765,-24.471010208129883,0.06924224644899368,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
35,1.75,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.05781535804271698,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.16396020352864865,-24.471010208129883,0.06326236575841904,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
36,1.8,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.0528515987098217,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.1494113951922969,-24.471010208129883,0.05781535804271698,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
