time_step,true_pos_x,pred_pos_x,error
168,-0.55,-0.3866027,-0.16339731
169,-0.56,-0.38908142,-0.17091858
170,-0.57,-0.41922414,-0.15077585
171,-0.6,-0.42726034,-0.17273968
172,-0.61,-0.4832409,-0.12675911
173,-0.62,-0.50792676,-0.11207324
174,-0.62,-0.4599331,-0.1600669
175,-0.63,-0.47597265,-0.15402734
176,-0.64,-0.4855078,-0.1544922
177,-0.65,-0.519452,-0.130548
178,-0.68,-0.5565634,-0.12343663
179,-0.69,-0.57792735,-0.11207265
180,-0.69,-0.5934665,-0.09653348
181,-0.7,-0.6111667,-0.08883327
182,-0.71,-0.6190833,-0.09091669
183,-0.72,-0.6298585,-0.090141535
184,-0.73,-0.6421429,-0.08785713
185,-0.73,-0.6519486,-0.07805145
186,-0.74,-0.6717595,-0.06824052
187,-0.75,-0.68541396,-0.06458604
188,-0.75,-0.69485235,-0.055147648
189,-0.76,-0.70100224,-0.05899775
190,-0.76,-0.6976563,-0.062343717
191,-0.77,-0.7035637,-0.06643629
192,-0.78,-0.7048764,-0.07512355
193,-0.78,-0.71509767,-0.064902306
194,-0.78,-0.7246549,-0.05534506
195,-0.79,-0.7320943,-0.057905734
196,-0.79,-0.7420052,-0.047994792
197,-0.79,-0.7471851,-0.04281491
198,-0.8,-0.7507528,-0.049247205
199,-0.8,-0.7558532,-0.044146836
200,-0.8,-0.76048934,-0.039510667
201,-0.8,-0.7644285,-0.035571516
202,-0.8,-0.7679609,-0.032039106
203,-0.8,-0.77097917,-0.029020846
204,-0.79,-0.7735069,-0.016493142
205,-0.79,-0.7740642,-0.015935838
206,-0.79,-0.7739811,-0.016018927
207,-0.79,-0.7738068,-0.016193211
208,-0.79,-0.7738285,-0.016171515
209,-0.79,-0.77406526,-0.015934765
210,-0.79,-0.7744683,-0.015531719
211,-0.79,-0.7749796,-0.01502043
212,-0.79,-0.7756895,-0.014310539
213,-0.79,-0.77646136,-0.013538659
214,-0.79,-0.77725196,-0.012748063
215,-0.79,-0.77801645,-0.011983573
216,-0.79,-0.77861,-0.01139003
217,-0.79,-0.7792237,-0.010776341
218,-0.79,-0.7797955,-0.010204494
219,-0.79,-0.7803155,-0.009684503
220,-0.79,-0.7807709,-0.009229124
221,-0.79,-0.7811638,-0.00883621
222,-0.79,-0.7813282,-0.00867182
223,-0.79,-0.78143394,-0.0085660815
224,-0.79,-0.7815186,-0.008481443
225,-0.79,-0.7815938,-0.008406222
226,-0.79,-0.78165805,-0.008341968
227,-0.79,-0.7815274,-0.008472621
228,-0.79,-0.78135824,-0.008641779
229,-0.79,-0.78119254,-0.00880748
230,-0.79,-0.78103375,-0.008966267
231,-0.79,-0.78088534,-0.009114683
232,-0.79,-0.7807064,-0.009293616
233,-0.79,-0.78046954,-0.009530485
234,-0.79,-0.7799908,-0.010009229
235,-0.79,-0.7795061,-0.010493934
236,-0.79,-0.7789589,-0.011041105
237,-0.79,-0.7784091,-0.011590898
238,-0.79,-0.77782667,-0.012173355
239,-0.79,-0.7772585,-0.012741506
240,-0.79,-0.7767229,-0.013277113
241,-0.79,-0.77621937,-0.0137806535
242,-0.79,-0.77573586,-0.014264166
243,-0.79,-0.775254,-0.01474601
244,-0.79,-0.77461576,-0.015384257
245,-0.79,-0.773455,-0.016544998
246,-0.8,-0.7723628,-0.027637184
247,-0.8,-0.7729609,-0.02703911
248,-0.8,-0.7737881,-0.026211917
249,-0.8,-0.7741314,-0.025868595
250,-0.8,-0.7736155,-0.026384532
251,-0.8,-0.77275777,-0.027242243
252,-0.8,-0.77146065,-0.02853936
253,-0.81,-0.7699002,-0.0400998
254,-0.81,-0.7696166,-0.0403834
255,-0.81,-0.769215,-0.040785015
256,-0.81,-0.7687684,-0.041231573
257,-0.81,-0.7666601,-0.043339908
258,-0.81,-0.7638874,-0.046112597
259,-0.82,-0.7602979,-0.0597021
260,-0.82,-0.75807166,-0.06192833
261,-0.82,-0.75536263,-0.06463736
