time_step,true_yaw_sin,pred_yaw_sin,error
140,-0.090535745,-0.11434562,0.023809873
141,-0.12803258,-0.112877615,-0.015154965
142,-0.09950372,-0.12857367,0.029069953
143,-0.09950372,-0.1257204,0.026216678
144,-0.09950372,-0.1208675,0.02136378
145,-0.1573493,-0.117565066,-0.039784238
146,-0.16679686,-0.14722641,-0.019570455
147,-0.1772635,-0.1768086,-0.00045490265
148,-0.118091874,-0.20154364,0.08345177
149,-0.20253962,-0.18345244,-0.01908718
150,-0.15205719,-0.21210948,0.06005229
151,-0.25626865,-0.20882991,-0.04743874
152,-0.25626865,-0.26026356,0.003994912
153,-0.30949172,-0.3005852,-0.008906513
154,-0.30949172,-0.3530626,0.043570876
155,-0.27472112,-0.3865251,0.11180398
156,-0.50840145,-0.38507608,-0.12332538
157,-0.37139067,-0.4959938,0.12460312
158,-0.5547002,-0.5099598,-0.04474038
159,-0.70207417,-0.5802743,-0.121799886
160,-0.94641674,-0.65919536,-0.28722137
161,-0.94641674,-0.7191981,-0.22721863
162,-0.9509021,-0.72890115,-0.22200096
163,-0.8359359,-0.71396583,-0.12197006
164,-0.71210384,-0.6784611,-0.03364277
165,-0.71210384,-0.6257316,-0.08637226
166,-0.71210384,-0.58938223,-0.12272161
167,-0.71210384,-0.5739141,-0.13818973
168,-0.71210384,-0.57229865,-0.1398052
169,-0.71210384,-0.5772896,-0.13481426
170,-0.71210384,-0.5771061,-0.13499773
171,-0.5547002,-0.5725372,0.017836988
172,-0.5547002,-0.5222369,-0.032463312
173,-0.70710677,-0.47686923,-0.23023754
174,-0.5547002,-0.49438602,-0.06031418
175,-0.5547002,-0.46070528,-0.093994915
176,-0.4472136,-0.43344203,-0.013771564
177,-0.37139067,-0.3838974,0.012506723
178,-0.35770842,-0.32823935,-0.029469073
179,-0.3229479,-0.29216403,-0.030783862
180,-0.26995292,-0.26368657,-0.0062663555
181,-0.26995292,-0.23226418,-0.037688747
182,-0.23176426,-0.21653523,-0.015229031
183,-0.2030655,-0.19763494,-0.0054305643
184,-0.19130418,-0.17740974,-0.013894439
185,-0.11684125,-0.1626862,0.04584495
186,-0.11043153,-0.12699214,0.016560607
187,-0.09950372,-0.10183004,0.0023263246
188,-0.090535745,-0.08536546,-0.0051702857
189,-0.13646947,-0.074529745,-0.061939724
190,-0.08304548,-0.08951733,0.00647185
191,-0.11757872,-0.080055624,-0.0375231
192,-0.07387169,-0.086120866,0.012249179
193,-0.07124705,-0.07348825,0.0022412017
194,-0.06651901,-0.062635265,-0.0038837418
195,-0.038476583,-0.054837182,0.0163606
196,-0.062378287,-0.038869374,-0.023508914
197,-0.058722023,-0.03981087,-0.018911153
198,-0.057049792,-0.042043123,-0.015006669
199,-0.057049792,-0.043814268,-0.013235524
200,-0.057049792,-0.045348532,-0.01170126
201,-0.057049792,-0.04645194,-0.010597851
202,-0.057049792,-0.047166437,-0.009883355
203,-0.057049792,-0.047723114,-0.009326678
204,-0.057049792,-0.048084058,-0.008965734
205,-0.057049792,-0.048349038,-0.0087007545
206,-0.057049792,-0.048572756,-0.008477036
207,-0.057049792,-0.04880502,-0.0082447715
208,-0.057049792,-0.04893353,-0.008116264
209,-0.057049792,-0.049035035,-0.008014757
210,-0.057049792,-0.049128123,-0.00792167
211,-0.057049792,-0.049216256,-0.007833537
212,-0.057049792,-0.04932849,-0.007721301
213,-0.057049792,-0.049273133,-0.007776659
214,-0.057049792,-0.049269967,-0.0077798255
215,-0.057049792,-0.049337134,-0.0077126585
216,-0.057049792,-0.049419172,-0.00763062
217,-0.057049792,-0.049548857,-0.0075009353
218,-0.057049792,-0.049703255,-0.007346537
219,-0.057049792,-0.049764194,-0.0072855987
220,-0.057049792,-0.04986067,-0.007189121
221,-0.058722023,-0.04998774,-0.008734282
222,-0.058722023,-0.051005475,-0.0077165477
223,-0.058722023,-0.051738337,-0.0069836862
224,-0.058722023,-0.05212552,-0.006596502
225,-0.058722023,-0.05230037,-0.0064216517
226,-0.06049506,-0.05237803,-0.008117031
227,-0.06049506,-0.05334243,-0.007152628
228,-0.06049506,-0.053942494,-0.006552566
229,-0.06049506,-0.05426222,-0.006232839
230,-0.06049506,-0.0544291,-0.006065961
231,-0.06049506,-0.054530196,-0.005964864
232,-0.06049506,-0.054564834,-0.0059302263
233,-0.062378287,-0.05457679,-0.0078014955
234,-0.062378287,-0.05562923,-0.0067490563
235,-0.062378287,-0.056409918,-0.0059683695
236,-0.062378287,-0.056743473,-0.0056348145
237,-0.062378287,-0.05690378,-0.005474508
238,-0.062378287,-0.056961857,-0.0054164305
239,-0.062378287,-0.057032228,-0.00534606
240,-0.062378287,-0.057125866,-0.005252421
241,-0.062378287,-0.057231866,-0.0051464215
242,-0.062378287,-0.05733954,-0.0050387457
243,-0.062378287,-0.057442583,-0.004935704
244,-0.06651901,-0.05744963,-0.009069376
245,-0.06651901,-0.0596489,-0.006870106
246,-0.06651901,-0.061242796,-0.0052762106
247,-0.06651901,-0.062003672,-0.004515335
248,-0.06651901,-0.0622402,-0.004278809
249,-0.06651901,-0.06220849,-0.0043105185
250,-0.06651901,-0.061931044,-0.004587963
251,-0.06651901,-0.061686195,-0.0048328117
252,-0.06651901,-0.061494455,-0.0050245523
253,-0.06651901,-0.06140928,-0.0051097274
254,-0.06651901,-0.06131237,-0.005206637
255,-0.06651901,-0.061135463,-0.0053835437
256,-0.06651901,-0.061039314,-0.0054796934
257,-0.06651901,-0.060564615,-0.0059543923
258,-0.06651901,-0.059954673,-0.006564334
259,-0.062378287,-0.059278734,-0.0030995533
260,-0.06049506,-0.056544185,-0.0039508753
261,-0.092671275,-0.053502418,-0.039168857
262,-0.092671275,-0.06611882,-0.026552454
263,-0.088088915,-0.07549127,-0.012597643
264,-0.052558832,-0.07792253,0.025363699
265,-0.082120076,-0.062436715,-0.019683361
266,-0.048722554,-0.06367914,0.014956582
267,-0.0464614,-0.052540213,0.006078813
268,-0.044400614,-0.043606106,-0.00079450756
269,-0.04078237,-0.03804922,-0.0027331486
270,-0.03996804,-0.033883788,-0.006084252
271,-0.026800802,-0.03170685,0.004906049
272,-0.026496025,-0.025329718,-0.0011663064
273,-0.025810389,-0.021253172,-0.0045572165
274,-0.03569153,-0.019171286,-0.016520243
275,-0.025291147,-0.022912068,-0.0023790784
276,-0.033878844,-0.02157297,-0.012305874
277,-0.024475021,-0.02395861,-0.0005164109
278,-0.031234752,-0.021884125,-0.009350628
279,-0.025308346,-0.025880676,0.0005723294
280,-0.025308346,-0.02557596,0.00026761368
281,-0.02499219,-0.0255806,0.0005884096
282,-0.024382992,-0.025457673,0.0010746811
283,-0.024089392,-0.025111832,0.0010224395
284,-0.023802778,-0.024749218,0.0009464398
285,-0.023249527,-0.024489898,0.0012403708
286,-0.024518596,-0.024083555,-0.00043504126
287,-0.021972716,-0.024504254,0.0025315378
288,-0.022216737,-0.023841608,0.001624871
289,-0.0018145131,-0.023830175,0.022015663
290,-0.0016101418,-0.0143555105,0.012745368
291,-0.021733996,-0.007458917,-0.014275079
292,-0.021271782,-0.013570471,-0.0077013113
293,-0.021047968,-0.018907849,-0.0021401197
294,-0.00080120156,-0.021979606,0.021178404
295,-0.020614175,-0.013825501,-0.006788674
296,-0.020403914,-0.016914366,-0.0034895483
297,-0.020197898,-0.020342138,0.00014423952
298,-0.020197898,-0.022412691,0.002214793
299,-0.019996,-0.02350467,0.0035086703
300,-0.019604076,-0.023903389,0.004299313
301,-0.019413816,-0.023792615,0.0043787993
302,0.00080120156,-0.023660941,0.024462143
303,0.00080120156,-0.013879338,0.01468054
304,-0.019044165,-0.0069815884,-0.012062576
305,-0.018864566,-0.013086892,-0.0057776747
306,0.001406751,-0.0186334,0.02004015
307,0.001406751,-0.011982029,0.01338878
308,0.0018145131,-0.0064782733,0.008292787
309,-0.018178813,-0.0031921538,-0.014986659
310,-0.018345537,-0.011563795,-0.006781742
311,0.0022724867,-0.018365435,0.020637922
312,-0.018178813,-0.011483157,-0.006695656
313,-0.018015094,-0.01647367,-0.0015414245
314,-0.017854296,-0.019546444,0.0016921479
315,-0.017696343,-0.018133104,0.00043676049
316,-0.01754116,-0.020339713,0.0027985517
317,-0.017388675,-0.021835007,0.0044463314
318,-0.017238818,-0.021321641,0.004082823
319,-0.017238818,-0.021413468,0.0041746497
320,-0.017238818,-0.02047906,0.0032402426
321,0.00411074,-0.019843314,0.023954054
322,-0.016946718,-0.009840822,-0.0071058962
323,0.0043454235,-0.012115217,0.01646064
324,0.005179527,-0.0058679525,0.01104748
325,0.012421402,0.016506063,-0.0040846607
326,0.012886318,0.017531948,-0.00464563
327,0.013754297,0.018635182,-0.0048808847
