time_step,true_pitch_deg,pred_pitch_deg,error
167,86.55311,81.29251,5.260597
168,86.55311,80.96518,5.587929
169,86.55311,80.929276,5.6238327
170,86.55311,81.42352,5.1295853
171,87.07038,81.29296,5.77742
172,87.07038,83.8512,3.2191849
173,87.71781,83.68628,4.0315323
174,87.07038,79.5262,7.544182
175,87.07038,79.29833,7.772049
176,86.39226,78.5834,7.808861
177,85.62557,79.160866,6.4647064
178,83.11361,79.6939,3.4197083
179,82.30179,78.96551,3.3362808
180,80.754074,77.95999,2.7940826
181,80.754074,77.217674,3.5363998
182,79.189606,76.25736,2.9322433
183,77.61673,75.57378,2.0429535
184,76.735504,74.88932,1.8461838
185,76.156456,74.06832,2.0881348
186,75.258,73.62832,1.6296844
187,73.65979,72.745445,0.9143448
188,72.06636,71.62841,0.43795013
189,71.05325,70.43956,0.61369324
190,70.4787,69.25565,1.2230453
191,67.883575,68.53655,-0.652977
192,67.95622,67.46593,0.4902954
193,67.00405,66.66478,0.33927155
194,65.417656,65.77168,-0.3540268
195,63.877857,64.754326,-0.87646866
196,63.84031,63.54875,0.2915573
197,62.272602,62.765556,-0.49295425
198,61.293026,62.28676,-0.99373245
199,61.293026,62.089645,-0.7966194
200,61.293026,62.14661,-0.8535843
201,61.293026,62.31805,-1.0250244
202,61.293026,62.525265,-1.2322388
203,61.293026,62.70444,-1.4114151
204,61.293026,62.85469,-1.5616646
205,61.293026,62.99603,-1.7030029
206,61.293026,63.103466,-1.8104401
207,61.293026,63.166145,-1.8731194
208,61.293026,63.210716,-1.9176903
209,61.293026,63.238373,-1.9453468
210,61.293026,63.25281,-1.9597855
211,61.293026,63.258324,-1.9652977
212,61.293026,63.284065,-1.9910393
213,61.293026,63.343876,-2.05085
214,61.293026,63.39479,-2.1017647
215,61.293026,63.422276,-2.1292496
216,61.293026,63.40146,-2.1084328
217,61.293026,63.34924,-2.0562134
218,61.293026,63.2853,-1.9922752
219,61.293026,63.23312,-1.940094
220,61.293026,63.180862,-1.8878365
221,62.272602,63.126198,-0.85359573
222,62.272602,63.25093,-0.9783287
