time_step,true_pos_y,pred_pos_y,error
158,0.18,0.1802406,-0.00024059415
159,0.18,0.18029198,-0.00029197335
160,0.18,0.18054245,-0.000542447
161,0.18,0.18128288,-0.0012828708
162,0.18,0.18167305,-0.0016730428
163,0.18,0.18207105,-0.002071038
164,0.18,0.1822666,-0.0022665858
165,0.18,0.18236773,-0.00236772
166,0.18,0.18240653,-0.0024065226
167,0.18,0.18236627,-0.0023662597
168,0.18,0.1822897,-0.0022896975
169,0.19,0.18221258,0.0077874213
170,0.19,0.18472558,0.005274415
171,0.19,0.18689284,0.0031071603
172,0.19,0.18855289,0.0014471114
173,0.19,0.18943259,0.0005674064
174,0.19,0.18935364,0.00064635277
175,0.19,0.18950447,0.0004955232
176,0.19,0.18952882,0.00047117472
177,0.19,0.18968184,0.0003181547
178,0.19,0.18983842,0.00016157329
179,0.19,0.18986613,0.00013387203
180,0.19,0.1898617,0.00013829768
181,0.19,0.18988946,0.000110536814
182,0.19,0.18985933,0.00014066696
183,0.19,0.18986104,0.00013895333
184,0.19,0.18987727,0.00012272596
185,0.19,0.18987513,0.00012487173
186,0.19,0.18995364,4.6357512e-05
187,0.19,0.18997462,2.5376678e-05
188,0.19,0.1899601,3.989041e-05
189,0.19,0.18993112,6.887317e-05
190,0.19,0.1898279,0.00017209351
191,0.19,0.18983889,0.00016111135
192,0.19,0.18980078,0.00019921362
193,0.19,0.1898415,0.00015850365
194,0.19,0.18986855,0.00013144314
195,0.19,0.18987705,0.00012294948
196,0.19,0.18990819,9.1806054e-05
197,0.19,0.18985784,0.00014215708
198,0.19,0.18979587,0.000204131
199,0.19,0.18972524,0.0002747625
200,0.19,0.18966277,0.00033722818
201,0.19,0.1896224,0.00037759542
202,0.19,0.18960544,0.00039455295
203,0.19,0.18960086,0.0003991425
204,0.19,0.18960512,0.00039488077
205,0.19,0.18961048,0.00038951635
206,0.19,0.1896139,0.000386104
207,0.19,0.18961357,0.0003864318
208,0.19,0.18961436,0.00038564205
209,0.19,0.1896147,0.00038529932
210,0.19,0.18961442,0.00038558245
211,0.19,0.18961367,0.0003863275
212,0.19,0.18961188,0.00038811564
213,0.19,0.18961617,0.0003838241
214,0.19,0.18961936,0.00038063526
215,0.19,0.18962026,0.0003797412
216,0.19,0.18961999,0.0003800094
217,0.19,0.18961754,0.0003824532
218,0.19,0.1896136,0.000386402
219,0.19,0.18961228,0.0003877133
220,0.19,0.18960957,0.00039042532
221,0.19,0.18960544,0.00039455295
222,0.19,0.1895992,0.00040079653
223,0.19,0.18959458,0.0004054159
224,0.19,0.18959083,0.00040917099
225,0.19,0.18958718,0.00041282177
226,0.19,0.18958347,0.00041653216
227,0.19,0.1895779,0.0004220903
228,0.19,0.18957752,0.00042247772
229,0.19,0.18957683,0.00042316318
230,0.19,0.1895745,0.00042550266
231,0.19,0.1895707,0.00042930245
232,0.19,0.18956763,0.0004323721
233,0.19,0.18956514,0.0004348606
234,0.19,0.18955937,0.00044062734
235,0.19,0.1895544,0.00044560432
236,0.19,0.18955253,0.00044746697
237,0.19,0.18954897,0.00045102835
238,0.19,0.1895449,0.00045509636
239,0.19,0.18953903,0.00046096742
240,0.19,0.1895321,0.00046789646
241,0.19,0.18952492,0.00047507882
242,0.19,0.189518,0.00048199296
243,0.19,0.1895116,0.00048840046
244,0.19,0.18950836,0.000491634
245,0.19,0.18949962,0.000500381
246,0.19,0.1894941,0.0005058944
247,0.19,0.18949187,0.0005081296
248,0.19,0.1894907,0.0005092919
249,0.19,0.18948907,0.000510931
250,0.19,0.18948999,0.00051000714
251,0.19,0.18948928,0.0005107224
252,0.19,0.1894872,0.00051279366
253,0.19,0.189482,0.00051799417
254,0.19,0.18947677,0.0005232245
255,0.19,0.18947318,0.00052681565
256,0.19,0.18946779,0.0005322099
257,0.19,0.18947029,0.0005297065
258,0.19,0.18947607,0.0005239248
259,0.19,0.18948378,0.0005162209
260,0.19,0.18949835,0.0005016476
261,0.19,0.18951245,0.0004875511
262,0.19,0.18947001,0.0005299896
263,0.19,0.18945344,0.0005465597
264,0.19,0.18946762,0.0005323738
265,0.19,0.18954293,0.00045706332
266,0.19,0.18953457,0.00046542287
