time_step,true_roll_deg,pred_roll_deg,error
178,20.152561,14.378052,5.7745094
179,18.028603,12.401199,5.6274033
180,14.848772,11.048058,3.8007145
181,14.848772,9.899742,4.94903
182,12.58827,9.481934,3.1063366
183,10.903586,9.075119,1.8284674
184,10.210406,8.655624,1.5547819
185,6.709837,8.37587,-1.6660328
186,6.340192,7.854622,-1.51443
187,5.710593,7.5958633,-1.8852701
188,5.194429,7.442375,-2.2479463
189,7.019215,7.266205,-0.24698973
190,4.763642,7.1592407,-2.395599
191,5.927999,6.8830643,-0.95506525
192,4.236395,6.5942917,-2.3578968
193,4.0856166,6.2917557,-2.206139
194,3.8140748,6.0556183,-2.2415435
195,1.3747311,5.8485336,-4.4738026
196,3.5763345,5.536415,-1.9600806
197,3.3664606,5.466194,-2.0997336
198,3.270488,5.4119034,-2.1414154
199,3.270488,5.390564,-2.120076
200,3.270488,5.3810196,-2.1105316
201,3.270488,5.365738,-2.09525
202,3.270488,5.337433,-2.0669448
203,3.270488,5.300102,-2.0296142
204,3.270488,5.245697,-1.975209
205,3.270488,5.164879,-1.8943908
206,3.270488,5.0811844,-1.8106964
207,3.270488,5.007019,-1.736531
208,3.270488,4.937462,-1.6669738
209,3.270488,4.875679,-1.605191
210,3.270488,4.821617,-1.5511291
211,3.270488,4.774292,-1.503804
212,3.270488,4.736435,-1.4659469
213,3.270488,4.6891174,-1.4186294
214,3.270488,4.6432495,-1.3727615
215,3.270488,4.6016006,-1.3311126
216,3.270488,4.5578766,-1.2873886
217,3.270488,4.5197983,-1.2493103
218,3.270488,4.486374,-1.2158859
219,3.270488,4.453842,-1.1833541
220,3.270488,4.42704,-1.1565521
221,3.3664606,4.406082,-1.0396216
222,3.3664606,4.459839,-1.0933783
223,3.3664606,4.5095596,-1.1430991
224,3.3664606,4.5397873,-1.1733267
225,3.3664606,4.554573,-1.1881125
226,3.4682293,4.5609283,-1.092699
227,3.4682293,4.617752,-1.1495228
228,3.4682293,4.669136,-1.2009068
229,3.4682293,4.7061157,-1.2378864
230,3.4682293,4.731613,-1.2633839
231,3.4682293,4.750183,-1.2819538
232,3.4682293,4.7667313,-1.298502
233,3.5763345,4.7854996,-1.2091651
234,3.5763345,4.8827972,-1.3064628
235,3.5763345,4.9735947,-1.3972602
236,3.5763345,5.0451508,-1.4688163
237,3.5763345,5.101288,-1.5249534
238,3.5763345,5.1499176,-1.5735831
239,3.5763345,5.1943893,-1.6180549
240,3.5763345,5.2363358,-1.6600013
241,3.5763345,5.2767105,-1.700376
242,3.5763345,5.3165283,-1.7401938
