"time","pos_x","pos_y","pos_z","rot_0","rot_1","rot_2","rot_3"
"0.0","0.0","0.0","0.0","0.0","0.2767986059188843","0.0","0.9609279632568359"
"0.004000000189989805","0.0026666668709367514","0.0016752922674641013","0.0","0.0","0.2767983675003052","0.0","0.9609280228614807"
"0.00800000037997961","0.005333333741873503","0.003350580809637904","0.0","0.0","0.27679774165153503","0.0","0.960928201675415"
"0.012000000104308128","0.00800000037997961","0.005025862716138363","0.0","0.0","0.2767965793609619","0.0","0.9609285593032837"
"0.01600000075995922","0.010666667483747005","0.00670113367959857","0.0","0.0","0.2767949402332306","0.0","0.9609290361404419"
"0.020000001415610313","0.0133333345875144","0.008376390673220158","0.0","0.0","0.276792973279953","0.0","0.9609296321868896"
"0.024000000208616257","0.01600000075995922","0.010051630437374115","0.0","0.0","0.27679046988487244","0.0","0.960930347442627"
"0.02800000086426735","0.018666667863726616","0.011726848781108856","0.0","0.0","0.2767874002456665","0.0","0.9609311819076538"
"0.03200000151991844","0.02133333496749401","0.013402041979134083","0.0","0.0","0.2767839729785919","0.0","0.960932195186615"
"0.036000002175569534","0.024000002071261406","0.015077207237482071","0.0","0.0","0.2767801880836487","0.0","0.960933268070221"
"0.04000000283122063","0.0266666691750288","0.016752341762185097","0.0","0.0","0.2767758071422577","0.0","0.9609345197677612"
"0.04400000348687172","0.029333336278796196","0.018427439033985138","0.0","0.0","0.27677103877067566","0.0","0.9609358906745911"
"0.04800000041723251","0.03200000151991844","0.020102499052882195","0.0","0.0","0.276765912771225","0.0","0.9609373807907104"
"0.052000001072883606","0.03466666862368584","0.02177751623094082","0.0","0.0","0.2767600417137146","0.0","0.9609390497207642"
"0.0560000017285347","0.03733333572745323","0.023452486842870712","0.0","0.0","0.27675390243530273","0.0","0.9609408378601074"
"0.06000000238418579","0.04000000283122063","0.025127409026026726","0.0","0.0","0.2767474353313446","0.0","0.9609427452087402"
"0.06400000303983688","0.04266666993498802","0.02680227905511856","0.0","0.0","0.27674031257629395","0.0","0.9609447717666626"
"0.06800000369548798","0.04533333703875542","0.02847709134221077","0.0","0.0","0.276732861995697","0.0","0.9609469175338745"
"0.07200000435113907","0.04800000414252281","0.030151845887303352","0.0","0.0","0.27672478556632996","0.0","0.9609492421150208"
"0.07600000500679016","0.05066667124629021","0.03182653337717056","0.0","0.0","0.2767162621021271","0.0","0.9609516859054565"
"0.08000000566244125","0.0533333383500576","0.03350115567445755","0.0","0.0","0.2767074704170227","0.0","0.9609542489051819"
"0.08400000631809235","0.056000005453825","0.03517570719122887","0.0","0.0","0.2766980528831482","0.0","0.9609569311141968"
"0.08800000697374344","0.05866667255759239","0.036850184202194214","0.0","0.0","0.27668842673301697","0.0","0.9609596729278564"
"0.09200000762939453","0.06133333966135979","0.03852458670735359","0.0","0.0","0.27667826414108276","0.0","0.9609626531600952"
"0.09600000083446503","0.06400000303983688","0.040198903530836105","0.0","0.0","0.27666714787483215","0.0","0.9609658122062683"
"0.10000000149011612","0.06666667014360428","0.041873134672641754","0.0","0.0","0.2766564190387726","0.0","0.9609689116477966"
"0.10400000214576721","0.06933333724737167","0.043547287583351135","0.0","0.0","0.27664512395858765","0.0","0.9609721899032593"
"0.1080000028014183","0.07200000435113907","0.045221343636512756","0.0","0.0","0.2766326069831848","0.0","0.9609757661819458"
"0.1120000034570694","0.07466667145490646","0.04689530283212662","0.0","0.0","0.2766197919845581","0.0","0.9609794616699219"
"0.11600000411272049","0.07733333855867386","0.04856916144490242","0.0","0.0","0.27660706639289856","0.0","0.9609830975532532"
"0.12000000476837158","0.08000000566244125","0.05024292320013046","0.0","0.0","0.2765938341617584","0.0","0.9609869122505188"
"0.12400000542402267","0.08266667276620865","0.05191657692193985","0.0","0.0","0.27657991647720337","0.0","0.9609909653663635"
"0.12800000607967377","0.08533333986997604","0.05359012261033058","0.0","0.0","0.2765654921531677","0.0","0.960995078086853"
"0.13199999928474426","0.08799999952316284","0.05526354908943176","0.0","0.0","0.2765505015850067","0.0","0.9609994292259216"
"0.13600000739097595","0.09066667407751083","0.05693686753511429","0.0","0.0","0.276535302400589","0.0","0.9610037803649902"
"0.14000000059604645","0.09333333373069763","0.058610059320926666","0.0","0.0","0.27651968598365784","0.0","0.9610083103179932"
"0.14400000870227814","0.09600000828504562","0.06028313562273979","0.0","0.0","0.2765035331249237","0.0","0.9610129594802856"
"0.14800000190734863","0.09866666793823242","0.06195607781410217","0.0","0.0","0.27648693323135376","0.0","0.9610177278518677"
"0.15200001001358032","0.10133334249258041","0.0636288970708847","0.0","0.0","0.27646979689598083","0.0","0.9610226154327393"
"0.15600000321865082","0.10400000214576721","0.0653015747666359","0.0","0.0","0.27645251154899597","0.0","0.9610276222229004"
"0.1600000113248825","0.1066666767001152","0.06697412580251694","0.0","0.0","0.27643510699272156","0.0","0.9610325694084167"
"0.164000004529953","0.109333336353302","0.06864653527736664","0.0","0.0","0.2764158844947815","0.0","0.9610381722450256"
"0.1680000126361847","0.11200001090765","0.0703187882900238","0.0","0.0","0.27639704942703247","0.0","0.9610435366630554"
"0.1720000058412552","0.11466667056083679","0.07199090719223022","0.0","0.0","0.27637779712677","0.0","0.9610490798950195"
"0.17600001394748688","0.11733334511518478","0.07366286218166351","0.0","0.0","0.27635759115219116","0.0","0.9610549211502075"
"0.18000000715255737","0.12000000476837158","0.07533466815948486","0.0","0.0","0.27633780241012573","0.0","0.9610605835914612"
"0.18400001525878906","0.12266667932271957","0.07700631767511368","0.0","0.0","0.2763170599937439","0.0","0.9610665440559387"
"0.18800000846385956","0.12533333897590637","0.07867780327796936","0.0","0.0","0.2762956917285919","0.0","0.9610726833343506"
"0.19200000166893005","0.12800000607967377","0.08034911751747131","0.0","0.0","0.2762742042541504","0.0","0.9610788822174072"
"0.19600000977516174","0.13066667318344116","0.08202027529478073","0.0","0.0","0.27625203132629395","0.0","0.9610852599143982"
"0.20000000298023224","0.13333334028720856","0.08369124680757523","0.0","0.0","0.2762298285961151","0.0","0.9610916376113892"
"0.20400001108646393","0.13600000739097595","0.08536206185817719","0.0","0.0","0.2762071490287781","0.0","0.9610981345176697"
"0.20800000429153442","0.13866667449474335","0.08703268319368362","0.0","0.0","0.276183545589447","0.0","0.9611049294471741"
"0.2120000123977661","0.14133334159851074","0.08870313316583633","0.0","0.0","0.2761594355106354","0.0","0.961111843585968"
"0.2160000056028366","0.14400000870227814","0.09037338197231293","0.0","0.0","0.2761348783969879","0.0","0.9611189365386963"
"0.2200000137090683","0.14666667580604553","0.0920434519648552","0.0","0.0","0.2761102616786957","0.0","0.9611259698867798"
