episode,steps,episode_reward,avg_pos_error,action_saturation_rate,actor_loss,critic_loss,alpha
1.0,197.0,-57.13681353271863,1.3440166321502725,1.0,0.0,0.0,0.09999999403953552
2.0,99.0,-33.020304504172735,1.3508029279082712,0.7272727272727273,0.7833272305930533,0.24675074564974483,0.09890202432870865
3.0,39.0,-13.698099614373218,1.3213875415997627,0.4358974358974359,0.6905540950596333,0.141691349609755,0.09779731184244156
4.0,45.0,-12.51324943420572,1.1945664101176792,0.4888888888888889,0.6561906433105469,0.09925896164774894,0.09649208933115005
5.0,35.0,-6.108257375210296,0.7319154407296862,0.37142857142857144,0.6420695733278989,0.0816030204645358,0.09547320753335953
6.0,33.0,-4.376448031763808,0.33021473545919766,0.5757575757575758,0.6337892243281548,0.07044954772633283,0.09451843798160553
7.0,16.0,-5.654849061012035,0.9334564208984375,0.375,0.6068341517448426,0.034900487819686535,0.09405504167079926
8.0,56.0,-17.59639888998619,1.3156212302190917,0.39285714285714285,0.5944342085719109,0.019844384444877506,0.09243706613779068
9.0,49.0,-7.3807509338030055,0.6493002904617057,0.32653061224489793,0.5955280143022538,0.01718721743673086,0.09103262424468994
10.0,31.0,-5.550453972088506,0.3746319682367386,0.3225806451612903,0.5986175873875618,0.01625556926475838,0.09015548229217529
11.0,34.0,-7.659456224898997,1.0050555274767035,0.4117647058823529,0.601462784409523,0.015435099399182946,0.08920104801654816
12.0,38.0,-10.685995588181239,1.3519028817352496,0.4473684210526316,0.6053424289822579,0.014204481544438749,0.08814284950494766
13.0,40.0,-10.368695682730106,1.2768384203314782,0.35,0.6102509069442749,0.013107637732755393,0.08703996241092682
14.0,23.0,-4.271846719700262,0.21831439824207968,0.4782608695652174,0.6123710298538207,0.01251399313332513,0.08640877157449722
15.0,86.0,-18.978364763765317,0.8207180978253831,0.37209302325581395,0.6199993154406548,0.01152133390540257,0.08408498018980026
16.0,45.0,-11.26382200145232,1.1516842815611097,0.4222222222222222,0.6227114143967628,0.011374167641624808,0.08289152383804321
17.0,33.0,-8.057910404011992,0.8208110585357203,0.30303030303030304,0.6258865082263947,0.01137845917372033,0.08202718943357468
18.0,78.0,-11.722920348751327,0.621669376698824,0.3076923076923077,0.6347761732339859,0.011234565961640328,0.08001457154750824
19.0,36.0,-10.917289427000693,0.977342802617285,0.3611111111111111,0.6407479980587959,0.011466962590347976,0.07910367846488953
20.0,96.0,-21.296293329580784,0.783037431538105,0.28125,0.6567348381876945,0.011369645572267472,0.07672473788261414
21.0,145.0,-61.310788107584415,1.5365891419608018,0.3793103448275862,0.6899287578463554,0.010288074626587332,0.07327813655138016
22.0,45.0,-9.396750339656583,1.075716914070977,0.13333333333333333,0.7051908418536186,0.010374322908464819,0.0722426176071167
23.0,30.0,-4.860407268151668,0.29608638137578963,0.4666666666666667,0.713329986333847,0.01040181320393458,0.07156014442443848
24.0,52.0,-11.958855841430562,0.9779060425666662,0.4423076923076923,0.7311179316043854,0.0104796028486453,0.07040254771709442
25.0,133.0,-31.32220287888735,0.9749724109818164,0.24060150375939848,0.7546060705184936,0.010627028460148721,0.06753053516149521
26.0,100.0,-29.46584291610251,1.0654862478375435,0.26,0.7757922074198723,0.010654395220335573,0.06546524912118912
27.0,66.0,-23.756602261978674,1.3173085324692004,0.22727272727272727,0.7959931921958924,0.011268898251000792,0.06414013355970383
28.0,106.0,-24.77948095822421,1.2240832403021038,0.16037735849056603,0.8275428602099418,0.011960395297501236,0.06206943094730377
29.0,87.0,-30.389291457579112,1.4342949068409272,0.21839080459770116,0.8476171970367432,0.011766407340764999,0.060417767614126205
30.0,227.0,-55.53077192269391,0.8375170043780416,0.31277533039647576,0.9130290830135346,0.013084791048895568,0.056337870657444
31.0,76.0,-24.934283702559533,1.3343392806617838,0.19736842105263158,0.937068874835968,0.013100648971740157,0.05503683537244797
32.0,116.0,-32.764804826259486,1.1649273384747834,0.28448275862068967,0.9714353907108307,0.013689225350972264,0.05311453714966774
33.0,88.0,-20.067694420962727,1.2199855304577134,0.19318181818181818,0.9941691908240319,0.013720370628871024,0.051704540848731995
34.0,77.0,-19.076590929249466,1.3260360994896332,0.2077922077922078,1.0103890338540078,0.013598687872290611,0.050508055835962296
35.0,152.0,-31.385814721003307,0.9411988944599503,0.2236842105263158,1.0317316740751266,0.014253172455355526,0.04824079945683479
36.0,102.0,-30.257869057446452,1.2510396154487835,0.27450980392156865,1.0533070573210717,0.015027822747360914,0.046785756945610046
37.0,119.0,-38.02822860620298,1.299890804691475,0.23529411764705882,1.0801668927073478,0.015000673867762089,0.045154210180044174
38.0,62.0,-9.351061477321117,1.0408158922387707,0.20967741935483872,1.1003210479021073,0.014859929501544683,0.044333286583423615
39.0,29.0,-9.198824336100492,1.471373911561637,0.2413793103448276,1.1083046317100524,0.014563118759542703,0.043954137712717056
40.0,36.0,-7.494037649434256,1.2813990662495296,0.19444444444444445,1.1178493177890778,0.015074033087585122,0.043484967201948166
41.0,72.0,-14.683145607003983,1.1840481890572443,0.1527777777777778,1.1316652470827102,0.016488090688362718,0.04256846755743027
42.0,51.0,-15.500659446049005,1.175323454772725,0.3333333333333333,1.1386785513162614,0.01629897763952613,0.04193622246384621
43.0,69.0,-17.83679916589285,1.3652856349945068,0.2608695652173913,1.151337242126465,0.018034186938311905,0.04109686240553856
44.0,132.0,-28.586620364857332,1.0182849435192165,0.1590909090909091,1.1793317359685898,0.019290559673681856,0.03953636810183525
45.0,93.0,-25.79432957478099,1.2592463557438185,0.24731182795698925,1.1992541271448136,0.018460173772182314,0.03847457468509674
