time_step,true_pitch_deg,pred_pitch_deg,error
166,54.5851,60.557423,-5.9723244
167,54.5851,59.879528,-5.29443
168,53.56607,59.334885,-5.768814
169,53.56607,58.765125,-5.1990547
170,53.56607,58.228325,-4.6622543
171,53.608894,57.751816,-4.1429214
172,53.09617,57.032276,-3.9361076
173,52.07375,56.240368,-4.1666183
174,52.03323,55.371883,-3.3386536
175,52.03323,54.86131,-2.8280792
176,52.03323,54.480827,-2.4475975
177,51.042294,54.02385,-2.981556
178,51.002644,53.168583,-2.1659393
179,49.481747,52.49494,-3.013195
180,48.44068,51.693943,-3.2532616
181,47.39096,50.761826,-3.3708649
182,46.93329,49.615746,-2.682457
183,44.824123,48.458187,-3.6340637
184,43.363678,47.131775,-3.768097
185,40.74521,45.496742,-4.7515335
186,39.716675,43.858963,-4.142288
187,38.636005,42.079792,-3.4437866
188,37.181118,40.329037,-3.1479187
189,35.028942,38.60841,-3.5794678
190,33.571114,36.77313,-3.202015
191,32.49952,35.00161,-2.5020905
192,30.287952,33.27566,-2.987709
193,28.885511,31.496489,-2.6109772
194,27.775335,29.726543,-1.9512081
195,25.539093,28.036785,-2.497692
196,23.066803,26.294716,-3.227913
197,19.680193,24.282381,-4.602188
198,17.224209,21.946386,-4.7221775
199,16.09151,19.460423,-3.3689117
200,14.955632,17.066435,-2.1108027
201,12.675188,14.871424,-2.1962357
202,11.531055,12.751552,-1.2204962
203,10.281405,10.79098,-0.5095749
204,9.1441765,8.989742,0.1544342
205,6.8645115,7.3467054,-0.48219395
206,5.7225194,5.695375,0.027144432
207,4.579387,4.11063,0.46875715
208,3.4353414,2.6131742,0.82216716
209,1.1454192,1.1044326,0.040986657
210,-1.1454192,-0.48900613,-0.6564131
211,-2.2906094,-2.1991174,-0.09149194
212,-4.580762,-3.874712,-0.7060499
213,-5.7242374,-5.5862827,-0.13795471
214,-8.007544,-7.2293878,-0.7781558
215,-10.281405,-8.905837,-1.3755684
216,-11.534596,-10.653129,-0.8814678
217,-13.821037,-12.325399,-1.4956379
218,-14.955632,-14.018514,-0.93711853
219,-17.229525,-15.632843,-1.5966816
220,-18.359194,-17.271568,-1.0876255
221,-20.80665,-18.827507,-1.9791431
222,-21.942163,-20.444221,-1.497942
223,-24.186953,-21.97425,-2.2127018
224,-25.554697,-23.512997,-2.0417004
225,-27.791328,-27.758677,-0.0326519
226,-28.901705,-30.885866,1.9841614
227,-30.30475,-32.583527,2.2787762
228,-32.516758,-33.58232,1.0655632
229,-35.04709,-34.53551,-0.5115776
230,-36.140453,-35.780273,-0.3601799
231,-38.684036,-37.174316,-1.5097198
232,-40.839745,-38.826485,-2.01326
233,-43.38481,-40.67923,-2.7055817
234,-44.87975,-42.73517,-2.1445808
235,-46.991028,-44.773453,-2.217575
236,-48.50134,-46.787468,-1.713871
237,-50.57716,-48.710403,-1.8667564
238,-52.099655,-50.585037,-1.5146179
239,-54.65667,-52.395256,-2.2614136
240,-57.22092,-54.2665,-2.954422
241,-58.768543,-56.136066,-2.6324768
242,-60.34704,-58.012238,-2.3348007
243,-62.318607,-59.735195,-2.5834122
244,-63.877857,-61.36753,-2.5103264
245,-65.47045,-63.06712,-2.4033318
246,-68.014984,-64.65136,-3.3636246
247,-69.608025,-66.256874,-3.3511505
248,-71.19211,-67.81902,-3.373085
249,-73.65979,-69.58918,-4.07061
250,-75.32521,-71.8555,-3.4697113
251,-77.74842,-74.21917,-3.529251
252,-79.34136,-76.73562,-2.6057434
253,-80.93264,-79.42048,-1.5121613
