time_step,true_pos_x,pred_pos_x,error
164,1.64,1.7332485,-0.09324849
165,1.63,1.723211,-0.093211055
166,1.62,1.7139721,-0.09397209
167,1.62,1.7050009,-0.08500087
168,1.61,1.6968935,-0.08689344
169,1.61,1.688709,-0.07870901
170,1.6,1.6811533,-0.08115327
171,1.6,1.6734766,-0.07347655
172,1.59,1.6656258,-0.07562578
173,1.59,1.6567712,-0.06677115
174,1.58,1.6480935,-0.06809342
175,1.57,1.6406593,-0.07065928
176,1.57,1.6328219,-0.062821865
177,1.56,1.6224482,-0.062448263
178,1.55,1.6095684,-0.059568405
179,1.54,1.5954695,-0.055469513
180,1.54,1.5808784,-0.040878415
181,1.52,1.5678005,-0.04780054
182,1.51,1.5519841,-0.04198408
183,1.5,1.5352341,-0.035234094
184,1.48,1.5182204,-0.038220406
185,1.46,1.5006546,-0.04065454
186,1.45,1.4817423,-0.031742215
187,1.43,1.4636611,-0.033661127
188,1.41,1.4452564,-0.035256386
189,1.4,1.426052,-0.026051998
190,1.38,1.4066317,-0.026631713
191,1.36,1.3873736,-0.027373552
192,1.34,1.3671132,-0.0271132
193,1.31,1.3457857,-0.035785794
194,1.29,1.3225418,-0.03254187
195,1.27,1.2988315,-0.028831482
196,1.23,1.2747416,-0.04474163
197,1.16,1.2481533,-0.08815336
198,1.11,1.2132609,-0.103260875
199,1.07,1.1728778,-0.102877736
200,1.05,1.1302425,-0.080242515
201,1.02,1.0898649,-0.06986487
202,0.99,1.0518762,-0.061876178
203,0.96,1.0161011,-0.056101143
204,0.94,0.9821,-0.042100012
205,0.91,0.9507179,-0.0407179
206,0.88,0.9206636,-0.0406636
207,0.85,0.8911558,-0.041155756
208,0.82,0.86181843,-0.04181844
209,0.78,0.8318914,-0.051891446
210,0.74,0.7998717,-0.059871674
211,0.71,0.7658063,-0.05580634
212,0.68,0.7317729,-0.051772892
213,0.64,0.6980886,-0.0580886
214,0.6,0.66416025,-0.06416023
215,0.57,0.6294792,-0.059479237
216,0.54,0.5955388,-0.055538774
217,0.5,0.56237316,-0.06237316
218,0.47,0.52897286,-0.058972865
219,0.44,0.49672094,-0.056720942
220,0.4,0.4647982,-0.064798206
221,0.36,0.4325547,-0.07255468
222,0.33,0.3997888,-0.069788784
223,0.3,0.36710662,-0.067106605
224,0.26,0.33530667,-0.075306684
225,0.23,0.25078547,-0.020785466
226,0.2,0.18259987,0.01740013
227,0.17,0.14157632,0.028423682
228,0.14,0.11902347,0.020976529
229,0.09,0.10408196,-0.014081955
230,0.06,0.087041646,-0.027041648
