time_step,true_roll_deg,pred_roll_deg,error
168,3.4729211,6.913162,-3.440241
169,3.4729211,6.584648,-3.111727
170,3.4729211,6.3369293,-2.8640082
171,2.6025622,6.166771,-3.5642087
172,2.5448043,6.084503,-3.5396988
173,2.489553,6.080139,-3.5905862
174,3.3038244,6.131035,-2.8272104
175,3.3038244,6.1714554,-2.867631
176,3.3038244,6.206764,-2.9029398
177,2.4366481,6.0325165,-3.5958683
178,3.2214355,5.7342224,-2.5127869
179,3.0727444,5.4106216,-2.3378773
180,2.9995797,5.100067,-2.1004875
181,2.9290967,4.8491287,-1.920032
182,2.867815,4.5191956,-1.6513805
183,2.7391021,4.1969833,-1.4578812
184,2.0454085,3.905983,-1.8605745
185,3.8785245,3.7143097,0.16421485
186,3.3100195,3.5507812,-0.24076176
187,3.2666953,3.4567413,-0.19004607
188,3.1774495,3.4019852,-0.2245357
189,1.762391,3.3518295,-1.5894386
190,3.0221267,3.2701874,-0.2480607
191,1.6846843,3.2052612,-1.520577
192,1.636577,3.1133194,-1.4767424
193,1.5911403,3.0026321,-1.4114919
194,1.5693548,2.8802643,-1.3109095
195,1.5275254,2.7638779,-1.2363524
196,1.2200669,2.6453323,-1.4252654
197,1.205531,2.5655289,-1.3599979
198,2.3690135,2.469223,-0.100209475
199,2.361866,2.396675,-0.034809113
200,2.3552501,2.352745,0.002505064
201,2.3435793,2.3449326,-0.0013532639
202,2.3385098,2.3367615,0.0017483234
203,2.310226,2.3358917,-0.02566576
204,2.3062758,2.3401642,-0.03388834
205,2.2997994,2.3599014,-0.060101986
206,2.297265,2.3671494,-0.0698843
207,2.2951956,2.3836365,-0.088440895
208,2.2935886,2.4163132,-0.12272453
209,2.2917547,2.450714,-0.15895939
210,2.2917547,2.486557,-0.19480228
211,2.292442,2.5389862,-0.24654412
212,1.1477134,2.624939,-1.4772255
213,1.1487488,2.684021,-1.5352722
214,1.151519,2.7612686,-1.6097497
215,2.310226,2.8559113,-0.5456853
216,1.1693803,3.0190277,-1.8496474
217,1.1747074,3.1807175,-2.00601
218,2.3552501,3.3381195,-0.9828694
219,1.1846421,3.5620193,-2.3773773
220,1.1884888,3.7570038,-2.5685148
221,2.4198565,3.9536362,-1.5337796
222,1.2149199,4.213463,-2.9985428
223,1.225525,4.459099,-3.233574
224,1.2453643,4.6913376,-3.4459734
225,1.2583326,2.174034,-0.9157015
226,1.2653506,0.35512543,0.91022515
227,1.2880825,-0.45005798,1.7381405
228,1.304577,-0.73986816,2.044445
229,1.3397604,-0.7915573,2.1313176
230,1.3498926,-0.69885254,2.0487452
231,1.3903295,-0.51548004,1.9058095
232,1.4151664,-0.26750946,1.6826758
233,1.4637582,0.015129089,1.4486291
234,1.5016397,0.34638977,1.15525
235,1.5357567,0.7083664,0.8273903
236,1.5798135,1.0695496,0.5102639
237,1.6210619,1.4332352,0.18782675
238,1.6729368,1.7811279,-0.10819113
239,1.7566253,2.1214218,-0.36479652
240,0.0,2.4743805,-2.4743805
241,1.9287207,2.8594284,-0.9307077
