time_step,true_yaw_cos,pred_yaw_cos,error
150,-0.9986178,-0.9974008,-0.0012170076
151,-0.99875236,-0.99964404,0.0008916855
152,-0.99875236,-1.0023909,0.003638506
153,-0.99875236,-1.0049973,0.006244898
154,-0.99662244,-1.0077775,0.011155009
155,-0.99875236,-1.009449,0.01069665
156,-0.99662244,-1.0127839,0.016161442
157,-0.9967658,-1.0145645,0.017798722
158,-0.9967658,-1.0169665,0.02020067
159,-0.9967658,-1.0195723,0.022806466
160,-0.9967658,-1.0220969,0.02533108
161,-0.9967658,-1.0244874,0.027721584
162,-0.9970322,-1.0172197,0.020187438
163,-0.9970322,-0.99680537,-0.00022685528
164,-0.9970322,-0.9749863,-0.02204591
165,-0.9970322,-0.9593734,-0.03765881
166,-0.9970322,-0.9510486,-0.045983613
167,-0.9970322,-0.9480854,-0.048946798
168,-0.9971483,-0.9480005,-0.049147785
169,-0.9971483,-0.9495215,-0.047626793
170,-0.9971483,-0.9511572,-0.045991063
171,-0.99896854,-0.95242,-0.046548545
172,-0.9990138,-0.95490605,-0.044107735
173,-0.99905616,-0.95688367,-0.04217249
174,-0.99736667,-0.9581502,-0.03921646
175,-0.99736667,-0.95726496,-0.040101707
176,-0.99736667,-0.95562375,-0.04174292
177,-0.99909586,-0.9583854,-0.04071045
178,-0.9974619,-0.9648123,-0.032649636
179,-0.99764335,-0.96957827,-0.028065085
180,-0.9977225,-0.9735117,-0.02421081
181,-0.9977971,-0.976419,-0.0213781
182,-0.997875,-0.9809452,-0.016929746
183,-0.99800414,-0.985058,-0.012946129
184,-0.9993628,-0.98845744,-0.010905385
185,-0.9977097,-0.99125326,-0.0064564347
186,-0.999112,-0.99204004,-0.007071972
187,-0.99914867,-0.9924504,-0.006698251
188,-0.99921167,-0.99225646,-0.0069552064
189,-0.999527,-0.9918731,-0.007653892
190,-0.9993249,-0.99208987,-0.00723505
191,-0.99956775,-0.99178207,-0.007785678
192,-0.99959207,-0.99186474,-0.007727325
193,-0.9996144,-0.9920605,-0.007553935
194,-0.9996249,-0.99212456,-0.0075003505
195,-0.99964464,-0.9919844,-0.00766021
196,-0.9999906,-0.99183804,-0.0081525445
197,-0.9999933,-0.9915254,-0.008467913
198,-0.9999804,-0.99068195,-0.009298444
199,-0.999983,-0.9889205,-0.011062503
200,-0.99998546,-0.9866806,-0.01330483
201,-0.9999897,-0.98441076,-0.015578926
202,-0.99999154,-0.9825055,-0.017486036
203,-0.99999344,-0.9807773,-0.01921612
204,-0.9999948,-0.97916317,-0.020831645
205,-0.9999971,-0.97762203,-0.022375047
206,-0.999998,-0.97629666,-0.02370131
207,-0.9999987,-0.97489727,-0.025101423
208,-0.9999993,-0.9733214,-0.026677907
209,-0.99999994,-0.9713055,-0.02869445
210,-0.99999994,-0.96914417,-0.030855775
211,-0.9999997,-0.9668188,-0.033180892
212,-0.9999997,-0.9643353,-0.03566438
213,-0.9999995,-0.96240693,-0.03759259
214,-0.999999,-0.9603303,-0.03966868
215,-0.99999344,-0.958061,-0.041932464
216,-0.99999785,-0.955239,-0.044758856
217,-0.9999969,-0.95263284,-0.047364056
218,-0.99998546,-0.9501071,-0.04987836
219,-0.9999951,-0.94700736,-0.052987754
220,-0.9999944,-0.94421005,-0.055784345
221,-0.9999699,-0.9413677,-0.058602214
222,-0.99999154,-0.9378969,-0.06209463
223,-0.9999895,-0.9347043,-0.065285206
224,-0.99998784,-0.93181247,-0.068175375
225,-0.9999852,-0.97941715,-0.020568073
226,-0.9999838,-1.0175713,0.017587543
227,-0.99998146,-1.0373077,0.037326276
228,-0.99997795,-1.0447406,0.04476261
229,-0.99997276,-1.0458992,0.045926392
230,-0.99997044,-1.0435913,0.043620825
231,-0.9999637,-1.0397865,0.039822757
232,-0.99995774,-1.0349802,0.035022438
233,-0.9999484,-1.0298128,0.02986443
234,-0.9999414,-1.024053,0.024111569
235,-0.9999321,-1.0182956,0.018363535
236,-0.9999229,-1.0130997,0.013176799
237,-0.99991065,-1.007932,0.008021295
238,-0.99989814,-1.0032079,0.0033097863
239,-0.9998745,-0.99842703,-0.0014474392
240,-1.0,-0.9933754,-0.0066245794
241,-0.99982035,-0.987729,-0.012091339
242,-1.0,-0.9838996,-0.016100407
243,-1.0,-0.9790031,-0.020996928
244,-0.99971217,-0.97486645,-0.02484572
245,-1.0,-0.9722842,-0.027715802
246,-1.0,-0.9675667,-0.03243327
247,-1.0,-0.96304435,-0.036955655
248,-0.9993428,-0.9591206,-0.040222228
249,-0.9950372,-0.95789206,-0.037145138
250,-0.9988311,-0.95562375,-0.043207347
251,-0.9912279,-0.9451328,-0.046095133
252,-0.9883717,-0.9311459,-0.057225764
253,-0.9838699,-0.90511954,-0.07875037
254,-0.97618705,-0.87322015,-0.102966905
255,-0.9486833,-0.8043726,-0.14431071
256,-0.8320503,-0.7238705,-0.10817981
257,-0.4472136,-0.5524859,0.10527229
258,6.123234e-17,-0.20630306,0.20630306
259,-0.4472136,0.15255375,-0.5997673
260,-0.4472136,0.3617022,-0.8089158
261,6.123234e-17,0.48710486,-0.48710486
262,6.123234e-17,0.59199166,-0.59199166
263,0.4472136,0.668675,-0.22146142
264,0.4472136,0.74833226,-0.30111867
265,0.4472136,0.8104659,-0.36325228
266,0.4472136,0.8513592,-0.4041456
267,0.70710677,0.87543297,-0.1683262
268,0.8320503,0.910693,-0.07864267
269,0.8320503,0.9593619,-0.12731159
270,0.8944272,0.99213624,-0.09770906
271,0.9486833,1.0142927,-0.065609396
272,0.97618705,1.029116,-0.052928984
273,0.9883717,1.034561,-0.046189368
274,0.9912279,1.0304518,-0.03922385
275,0.99227786,1.0194441,-0.027166247
276,0.9938837,1.0065492,-0.01266551
277,0.9950372,0.99684083,-0.0018036366
278,0.9958932,0.9919965,0.0038966537
279,0.99654573,0.9905325,0.0060132146
280,0.99681526,0.9928435,0.0039717555
281,0.99681526,0.99974,-0.0029247403
282,0.9974587,1.0081695,-0.010710835
283,0.9962844,1.0173359,-0.021051466
284,0.99837136,1.0229325,-0.024561167
285,0.9972924,1.0278851,-0.03059268
286,0.9986178,1.026488,-0.027870119
287,0.9986178,1.0269251,-0.02830726
288,0.9986178,1.0271941,-0.028576314
289,0.9986178,1.0269623,-0.028344452
290,0.9986178,1.0263143,-0.02769643
291,0.9986178,1.0256623,-0.027044475
292,0.9986877,1.0251447,-0.026457012
293,0.99875236,1.0250816,-0.026329279
294,0.99875236,1.0255396,-0.026787281
295,0.99875236,1.0258865,-0.02713418
296,0.99875236,1.025926,-0.027173638
297,0.9988124,1.0258868,-0.027074397
298,0.9988124,1.0258684,-0.027056038
299,0.9988124,1.0258074,-0.026995003
300,0.9988124,1.0255307,-0.026718318
301,0.9988124,1.0249268,-0.026114404
302,0.9989201,1.0242044,-0.02528429
303,0.9989201,1.0240365,-0.025116444
304,0.9989201,1.0235966,-0.024676561
305,0.99896854,1.022583,-0.023614466
306,0.99896854,1.0214711,-0.022502601
307,0.99896854,1.0201962,-0.021227658
308,0.99905616,1.0186969,-0.019640744
309,0.99905616,1.017591,-0.01853484
310,0.99905616,1.0162965,-0.017240345
311,0.99905616,1.0147938,-0.015737593
312,0.99909586,1.0131472,-0.014051378
