time_step,true_pos_z,pred_pos_z,error
172,-0.36,-0.4648239,0.10482389
173,-0.4,-0.5020471,0.102047116
174,-0.44,-0.53897923,0.098979235
175,-0.48,-0.5737748,0.093774825
176,-0.51,-0.60867584,0.09867585
177,-0.54,-0.6391648,0.099164784
178,-0.58,-0.6687157,0.08871573
179,-0.62,-0.6952115,0.075211525
180,-0.65,-0.7218268,0.071826816
181,-0.69,-0.74803925,0.058039248
182,-0.72,-0.7740096,0.054009557
183,-0.77,-0.7996143,0.02961433
184,-0.82,-0.8275441,0.0075441003
185,-0.86,-0.86312604,0.0031260252
186,-0.89,-0.8986187,0.008618712
187,-0.92,-0.9361756,0.016175568
188,-0.95,-0.97376907,0.02376908
189,-0.98,-1.010479,0.030478954
190,-1.0,-1.0452522,0.045252204
191,-1.03,-1.0777968,0.047796845
192,-1.07,-1.1086386,0.03863859
193,-1.1,-1.1394682,0.03946817
194,-1.12,-1.1704185,0.050418496
195,-1.16,-1.1998571,0.03985715
196,-1.2,-1.2290504,0.02905035
197,-1.27,-1.2606455,-0.009354472
198,-1.31,-1.2985078,-0.011492133
199,-1.34,-1.3396432,-0.0003567934
200,-1.36,-1.3798249,0.019824862
201,-1.38,-1.415596,0.035596013
202,-1.4,-1.4462323,0.046232343
203,-1.42,-1.4724365,0.05243659
204,-1.44,-1.4950713,0.055071235
205,-1.45,-1.5147849,0.064784884
206,-1.47,-1.5312546,0.06125462
207,-1.49,-1.5459802,0.055980206
208,-1.5,-1.5597699,0.05976987
209,-1.52,-1.5712818,0.05128181
210,-1.54,-1.5819653,0.041965365
211,-1.55,-1.5921506,0.042150617
212,-1.56,-1.6012598,0.041259885
213,-1.57,-1.6076859,0.03768587
214,-1.58,-1.612698,0.032697916
215,-1.59,-1.6165015,0.026501417
216,-1.6,-1.6203357,0.020335674
217,-1.6,-1.6227819,0.022781849
218,-1.61,-1.6231729,0.013172865
219,-1.61,-1.6239766,0.013976574
220,-1.61,-1.6223654,0.012365341
221,-1.62,-1.6191231,-0.00087690353
222,-1.62,-1.6162978,-0.0037021637
223,-1.62,-1.6120304,-0.007969618
224,-1.61,-1.6061565,-0.003843546
225,-1.61,-1.6783603,0.06836033
226,-1.61,-1.7014621,0.091462135
227,-1.6,-1.6885792,0.08857918
228,-1.6,-1.667329,0.06732893
229,-1.59,-1.6491793,0.059179306
230,-1.58,-1.6342474,0.05424738
231,-1.57,-1.6217381,0.051738024
232,-1.55,-1.6092776,0.059277654
233,-1.54,-1.5949272,0.05492723
234,-1.53,-1.5788666,0.04886663
235,-1.52,-1.5621091,0.04210913
236,-1.5,-1.5446482,0.04464817
237,-1.49,-1.5258486,0.035848618
238,-1.46,-1.5063089,0.046308875
239,-1.44,-1.4846102,0.044610143
240,-1.42,-1.4605997,0.040599704
241,-1.4,-1.4314368,0.0314368
242,-1.38,-1.4031457,0.023145676
243,-1.36,-1.3726392,0.012639165
244,-1.34,-1.3406136,0.0006135702
245,-1.32,-1.3124241,-0.007575989
246,-1.29,-1.2831194,-0.006880522
247,-1.27,-1.25074,-0.01925993
248,-1.24,-1.2173276,-0.022672415
249,-1.21,-1.1886673,-0.02133274
250,-1.18,-1.1678761,-0.012123823
251,-1.15,-1.14779,-0.002210021
252,-1.12,-1.1289814,0.008981347
253,-1.09,-1.1112614,0.021261334
254,-1.07,-1.0882913,0.018291235
255,-1.03,-1.0338979,0.0038979053
256,-1.01,-0.9448899,-0.06511009
257,-0.97,-0.85072875,-0.11927128
258,-0.95,-0.7541754,-0.19582456
259,-0.91,-0.6992066,-0.21079344
260,-0.89,-0.67495704,-0.21504295
261,-0.86,-0.66334426,-0.19665575
262,-0.83,-0.65053046,-0.17946953
263,-0.79,-0.6431804,-0.14681965
264,-0.76,-0.6419431,-0.11805689
265,-0.72,-0.6383655,-0.08163452
266,-0.68,-0.6326344,-0.047365606
267,-0.65,-0.62504363,-0.024956346
268,-0.62,-0.6211834,0.0011833906
269,-0.59,-0.6100849,0.020084918
270,-0.56,-0.5917537,0.03175372
271,-0.52,-0.57219994,0.05219996
272,-0.49,-0.54895127,0.05895126
273,-0.46,-0.5211853,0.06118527
274,-0.42,-0.4896956,0.06969562
275,-0.39,-0.4519269,0.0619269
276,-0.36,-0.40849948,0.048499465
277,-0.32,-0.36098117,0.040981174
278,-0.28,-0.31487358,0.034873575
279,-0.24,-0.26758534,0.027585343
280,-0.2,-0.21451688,0.014516875
281,-0.17,-0.16285533,-0.0071446747
282,-0.13,-0.11493212,-0.015067875
283,-0.09,-0.0701049,-0.019895107
284,-0.05,-0.03758779,-0.012412209
285,-0.02,-0.0035421252,-0.016457874
286,0.02,0.029196322,-0.009196322
287,0.05,0.06508386,-0.015083861
288,0.09,0.10109848,-0.011098474
289,0.13,0.13787118,-0.007871181
290,0.18,0.17607409,0.0039259195
291,0.21,0.2172878,-0.0072878003
292,0.26,0.25803286,0.001967132
293,0.3,0.29957944,0.00042057037
294,0.34,0.3413454,-0.001345396
295,0.38,0.3829123,-0.0029123127
296,0.41,0.42421144,-0.014211446
297,0.47,0.46403158,0.0059684217
298,0.5,0.50598484,-0.005984843
299,0.53,0.54728466,-0.017284691
300,0.57,0.5864768,-0.01647681
301,0.61,0.6249229,-0.014922857
302,0.66,0.6636848,-0.0036847591
303,0.7,0.7040423,-0.0040423274
304,0.77,0.74482,0.025179982
305,0.81,0.79067767,0.019322336
306,0.85,0.83713317,0.012866855
307,0.9,0.8830412,0.016958773
308,0.95,0.9295676,0.020432413
309,0.98,0.9765126,0.0034874082
310,1.02,1.0205941,-0.0005941391
311,1.06,1.0630581,-0.003058195
312,1.12,1.1046143,0.015385747
313,1.16,1.1490707,0.010929227
314,1.2,1.1942346,0.005765438
315,1.24,1.2364705,0.0035295486
316,1.28,1.2754455,0.00455451
317,1.32,1.3127537,0.007246375
318,1.35,1.3490393,0.00096070766
319,1.38,1.3841286,-0.0041285753
320,1.42,1.4181614,0.0018385649
321,1.46,1.4530456,0.0069544315
322,1.49,1.4886593,0.0013407469
323,1.52,1.5239398,-0.003939867
324,1.54,1.5578464,-0.017846465
325,1.58,1.5892874,-0.009287357
326,1.61,1.6208998,-0.010899782
327,1.64,1.6521786,-0.012178659
328,1.67,1.6830401,-0.013040185
329,1.7,1.7139918,-0.0139917135
330,1.74,1.7447078,-0.0047078133
331,1.77,1.7770334,-0.0070334673
332,1.79,1.8092301,-0.019230127
333,1.83,1.8392087,-0.009208679
334,1.86,1.8696634,-0.009663343
335,1.88,1.8996302,-0.019630194
336,1.94,1.9274874,0.012512684
337,1.97,1.9601963,0.009803772
338,1.99,1.9938451,-0.0038450956
339,2.01,2.0249376,-0.014937639
340,2.03,2.0548677,-0.024867773
341,2.06,2.0827894,-0.022789478
342,2.08,2.1101742,-0.030174255
343,2.1,2.135314,-0.035314083
344,2.13,2.1565435,-0.026543379
345,2.14,2.1764138,-0.03641367
346,2.17,2.1934664,-0.023466349
347,2.19,2.2580686,-0.068068504
348,2.21,2.2685573,-0.058557272
349,2.22,2.2579222,-0.037922144
350,2.23,2.2507467,-0.020746708
351,2.25,2.2557926,-0.005792618
352,2.26,2.2692719,-0.00927186
353,2.28,2.2840662,-0.004066229
354,2.29,2.3009143,-0.010914326
355,2.3,2.3148952,-0.014895201
356,2.31,2.325776,-0.015776157
357,2.32,2.328972,-0.008972168
358,2.32,2.332592,-0.012592077
359,2.32,2.3347728,-0.014772892
360,2.32,2.334981,-0.014981031
361,2.32,2.3419907,-0.021990776
362,2.32,2.331605,-0.011605024
363,2.32,2.3203702,-0.00037026405
364,2.32,2.31548,0.0045199394
365,2.32,2.3135529,0.006447077
366,2.32,2.3113003,0.0086996555
367,2.32,2.3078704,0.012129545
368,2.32,2.3036213,0.016378641
369,2.32,2.299224,0.020776033
370,2.32,2.2952209,0.024779081
371,2.32,2.291901,0.028098822
372,2.32,2.289349,0.030650854
373,2.32,2.2875042,0.032495737
374,2.32,2.286242,0.033757925
375,2.15,2.2854195,-0.13541937
376,2.12,2.2683659,-0.14836597
377,2.1,2.224174,-0.12417412
378,2.07,2.1615453,-0.09154534
379,2.05,2.0943093,-0.044309378
380,2.03,2.0324943,-0.0024943352
381,2.0,1.9788395,0.021160483
382,1.97,1.933251,0.036749005
383,1.96,1.89588,0.064120054
384,1.94,1.8725963,0.06740379
385,1.92,1.8596267,0.060373306
386,1.9,1.8500795,0.04992044
