time_step,true_pos_y,pred_pos_y,error
166,0.17,0.16887277,0.0011272281
167,0.17,0.16879365,0.0012063533
168,0.17,0.16883256,0.0011674464
169,0.17,0.1688994,0.0011005998
170,0.17,0.16895626,0.0010437369
171,0.17,0.16898903,0.0010109693
172,0.17,0.16899322,0.001006782
173,0.17,0.16900408,0.0009959191
174,0.17,0.16901533,0.0009846687
175,0.17,0.16900997,0.0009900331
176,0.17,0.1689709,0.001029104
177,0.17,0.16892235,0.001077652
178,0.17,0.1688877,0.0011122972
179,0.17,0.16889784,0.0011021644
180,0.17,0.16891156,0.0010884404
181,0.17,0.16892384,0.0010761619
182,0.17,0.16893217,0.0010678321
183,0.17,0.16894798,0.001052022
184,0.17,0.16896813,0.0010318756
185,0.17,0.16897136,0.0010286421
186,0.17,0.1689937,0.0010063052
187,0.17,0.16899288,0.0010071248
188,0.17,0.1689944,0.0010056049
189,0.17,0.1690009,0.000999108
190,0.17,0.16901892,0.0009810776
191,0.17,0.16903916,0.0009608418
192,0.17,0.16906197,0.0009380281
193,0.17,0.16909042,0.0009095818
194,0.17,0.16912055,0.00087945163
195,0.17,0.16915166,0.000848338
196,0.17,0.1691871,0.00081290305
197,0.17,0.16923232,0.000767678
198,0.17,0.16929623,0.00070376694
199,0.17,0.1693641,0.00063590705
200,0.17,0.16943371,0.0005662888
201,0.17,0.16950679,0.00049321353
202,0.17,0.16958745,0.00041255355
203,0.17,0.16967142,0.0003285855
204,0.17,0.16975723,0.00024276972
205,0.17,0.16984268,0.00015732646
206,0.17,0.1699307,6.93053e-05
207,0.17,0.17001797,-1.79708e-05
208,0.17,0.1701043,-0.00010429323
209,0.17,0.17018579,-0.00018578768
210,0.17,0.17027773,-0.00027772784
211,0.17,0.1703802,-0.00038020313
212,0.17,0.17048429,-0.00048428774
213,0.17,0.17059618,-0.00059618056
214,0.17,0.17070834,-0.0007083416
215,0.17,0.17082284,-0.0008228421
216,0.17,0.17093322,-0.000933215
217,0.17,0.17104271,-0.0010427088
218,0.17,0.1711534,-0.0011533946
219,0.17,0.17125687,-0.0012568682
220,0.17,0.17136155,-0.0013615489
221,0.17,0.17146549,-0.0014654845
222,0.17,0.17157164,-0.0015716404
223,0.17,0.17167754,-0.0016775429
224,0.18,0.17178288,0.008217126
225,0.18,0.17452307,0.0054769367
226,0.18,0.17710681,0.0028931946
227,0.18,0.17875549,0.0012445152
228,0.18,0.17953323,0.00046677887
229,0.18,0.17976406,0.00023594499
230,0.18,0.17973952,0.0002604872
231,0.18,0.17963292,0.0003670901
232,0.18,0.17954017,0.00045983493
233,0.18,0.17949222,0.00050778687
234,0.18,0.17948633,0.0005136728
235,0.18,0.17951454,0.00048546493
236,0.18,0.17956492,0.0004350841
237,0.18,0.17962812,0.00037188828
238,0.18,0.17969736,0.00030264258
239,0.18,0.17977016,0.00022985041
240,0.18,0.17984967,0.00015033782
241,0.18,0.1799062,9.380281e-05
242,0.18,0.17997384,2.6166439e-05
243,0.18,0.18002413,-2.412498e-05
244,0.18,0.18005963,-5.9619546e-05
245,0.18,0.18013307,-0.00013306737
246,0.18,0.18019019,-0.00019018352
247,0.18,0.18022987,-0.00022986531
248,0.18,0.18026401,-0.00026400387
249,0.18,0.18036053,-0.0003605187
250,0.18,0.18061075,-0.000610739
251,0.18,0.18081394,-0.0008139312
252,0.18,0.18109982,-0.00109981
253,0.19,0.1814603,0.008539692
254,0.19,0.18507648,0.0049235225
255,0.19,0.18823305,0.0017669499
256,0.19,0.19028051,-0.00028051436
257,0.19,0.19086143,-0.0008614361
258,0.19,0.18991913,8.08686e-05
259,0.19,0.18890393,0.0010960698
260,0.19,0.1887423,0.0012577027
261,0.19,0.18883404,0.0011659563
262,0.19,0.18875793,0.0012420714
263,0.19,0.18874258,0.0012574196
264,0.19,0.18888216,0.0011178404
265,0.19,0.18895797,0.0010420233
266,0.19,0.18899222,0.0010077804
267,0.19,0.18900293,0.0009970665
268,0.19,0.18918324,0.00081676245
269,0.19,0.18936878,0.0006312132
270,0.19,0.18942079,0.00057920814
271,0.19,0.1895009,0.0004990995
272,0.19,0.18960086,0.0003991425
273,0.19,0.18965222,0.0003477782
274,0.19,0.18962401,0.0003759861
275,0.19,0.18952633,0.0004736632
276,0.19,0.18942678,0.00057321787
277,0.19,0.1893696,0.0006303936
278,0.19,0.18936332,0.0006366819
279,0.19,0.18937176,0.00062823296
280,0.19,0.18937463,0.00062537193
281,0.19,0.18940938,0.0005906224
282,0.19,0.1894586,0.0005414039
283,0.19,0.18949956,0.0005004406
284,0.19,0.18954892,0.00045107305
285,0.19,0.18954979,0.00045020878
286,0.19,0.18952931,0.00047068298
287,0.19,0.18950489,0.000495106
288,0.19,0.18947604,0.00052395463
289,0.19,0.18945706,0.0005429387
290,0.19,0.18945134,0.00054866076
291,0.19,0.1894606,0.00053939223
292,0.19,0.18947643,0.0005235672
293,0.19,0.18949237,0.00050762296
294,0.19,0.1895081,0.00049190223
