feature,rmse,mae
pos_x,0.07680611312389374,0.053675632923841476
pos_y,0.0017995946109294891,0.0010576921049505472
pos_z,0.06700386852025986,0.04815785586833954
yaw_sin,0.05652505159378052,0.01962393708527088
yaw_cos,0.08590065687894821,0.043907035142183304
roll_deg,5.698153495788574,3.117698907852173
pitch_deg,4.251628398895264,3.3277480602264404
