step,time,reference_dx,reference_dy,policy_throttle,policy_steer,action_throttle,action_steer,control_throttle,control_steer,control_brake,control_reverse,control_hand_brake,predicted_delta_x,predicted_delta_y,predicted_delta_z,predicted_delta_yaw,target_yaw_step_deg,ref_x,ref_y,ref_z,ref_yaw_deg,pred_x,pred_y,pred_z,pred_yaw_deg,speed_mps,error_x,error_y,error_z,error_pos_l2,error_yaw_deg,current_loss,cumulative_mean_loss,total_loss
10,0.37328456425569945,0.0375707745552063,0.03718653321266174,0.09186708927154541,0.39301496744155884,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.03826528042554855,0.00020646279153879732,0.0003915519919246435,0.49679240584373474,-0.054114786487645006,-59.64316940307617,23.530078887939453,0.0018781661055982113,-10.671126643355933,-60.2304801940918,23.63909149169922,0.0018700027139857411,-10.302505493164062,0.05426627578969976,-0.587310791015625,0.10901260375976562,-8.16339161247015e-06,0.5973421931266785,0.3686211501918706,0.05097521096467972,0.019684717059135437,0.036209541449649094
11,0.41061302068126937,0.037546247243881226,0.03708890080451965,0.08379653841257095,0.3973691165447235,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.03813571482896805,0.00020700720779132098,0.0004289347562007606,0.48515528440475464,-0.05917909443118674,-59.591312408447266,23.520280838012695,0.0018781661055982113,-10.73030573778712,-60.22577667236328,23.63848114013672,0.0018579864408820868,-10.285934448242188,0.10458737807640382,-0.6344642639160156,0.11820030212402344,-2.0179664716124535e-05,0.6453806757926941,0.4443712895449323,0.059504490345716476,0.023003030568361282,0.042157287341126025
12,0.4479414771068393,0.041686683893203735,0.04108503460884094,0.07075183093547821,0.3988342583179474,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.0379243940114975,0.0001988786389119923,0.0004905776004306972,0.4905196726322174,-0.07150761178485254,-59.5338134765625,23.509347915649414,0.0018781661055982113,-10.801813349571972,-60.2180290222168,23.637601852416992,0.001842498779296875,-10.271468162536621,0.17693573224145365,-0.6842155456542969,0.12825393676757812,-3.566732630133629e-05,0.6961321830749512,0.5303451870353513,0.06923183798789978,0.026559093967080116,0.04883158181830366
13,0.48526993353240927,0.037487566471099854,0.036855220794677734,0.05356565862894058,0.39890244603157043,0.05356565862894058,0.39890244603157043,0.05356565862894058,0.39890244603157043,0.0,0,0,0.03674967959523201,0.0001289506326429546,0.0004935625474900007,0.44169068336486816,-0.07002799376897428,-59.482181549072266,23.49946403503418,0.0018781661055982113,-10.871841343340918,-60.20860290527344,23.636796951293945,0.001837234478443861,-10.235915184020996,0.20877461993309274,-0.7264213562011719,0.13733291625976562,-4.093162715435028e-05,0.7392890453338623,0.6359261593199221,0.0780831128358841,0.030239379033446312,0.06459904337870305
14,0.5225983899579792,0.03745633363723755,0.0367313027381897,0.06569357961416245,0.4372135102748871,0.06569357961416245,0.4372135102748871,0.06569357961416245,0.4372135102748871,0.0,0,0,0.03503195941448212,0.0004494082822930068,0.0005122324801050127,0.7832402586936951,-0.07515813335345456,-59.430667877197266,23.489534378051758,0.0018781661055982113,-10.946999476694373,-60.199989318847656,23.63656234741211,0.0018473052186891437,-10.176376342773438,0.1741247140438261,-0.7693214416503906,0.14702796936035156,-3.086088690906763e-05,0.7832449674606323,0.7706231339209353,0.08764562755823135,0.03406646475195885,0.06405853541698998
15,0.5599268463835492,0.04157912731170654,0.04065728187561035,0.03480623662471771,0.43801501393318176,0.03480623662471771,0.43801501393318176,0.03480623662471771,0.43801501393318176,0.0,0,0,0.03171691298484802,0.0005419505760073662,0.0003547667001839727,1.1393814086914062,-0.08989310809917583,-59.37358093261719,23.47844696044922,0.0018781661055982113,-11.036892584793549,-60.19070053100586,23.636878967285156,0.0018509674118831754,-10.084975242614746,0.2019942614601415,-0.8171195983886719,0.1584320068359375,-2.7198693715035915e-05,0.8323371410369873,0.9519173421788025,0.09897936135530472,0.038123518228530884,0.07191344650374738
16,0.5972553028091191,0.03738373517990112,0.036442697048187256,0.03480623662471771,0.3230043947696686,0.03480623662471771,0.3230043947696686,0.03480623662471771,0.3230043947696686,0.0,0,0,0.026972390711307526,0.00038704960024915636,6.907270289957523e-05,1.0138564109802246,-0.08609114299707699,-59.32234573364258,23.468414306640625,0.0018781661055982113,-11.122983727790626,-60.181419372558594,23.63694953918457,0.0018583297496661544,-10.015608787536621,0.1772537226581675,-0.8590736389160156,0.1685352325439453,-1.9836355932056904e-05,0.8754494190216064,1.1073749402540045,0.1095007136464119,0.042322177439928055,0.07804176220633101
17,0.634583759234689,0.03734588623046875,0.036292970180511475,0.03480623662471771,0.35759276151657104,0.03480623662471771,0.35759276151657104,0.03480623662471771,0.35759276151657104,0.0,0,0,0.022195203229784966,0.00026248651556670666,-0.00017894910706672817,0.6331647634506226,-0.09166206062030824,-59.27125549316406,23.458328247070312,0.0018781661055982113,-11.214645788410934,-60.17257308959961,23.637155532836914,0.0018659591441974044,-9.944899559020996,0.1536099165071098,-0.9013175964355469,0.17882728576660156,-1.2206961400806904e-05,0.9188866019248962,1.2697462293899378,0.12063921988010406,0.04667312279343605,0.08443270396839275
18,0.6719122156602589,0.04144859313964844,0.040139973163604736,0.03480623662471771,0.3324955701828003,0.03480623662471771,0.3324955701828003,0.03480623662471771,0.3324955701828003,0.0,0,0,0.019279930740594864,0.00019613667973317206,-0.0003727259172592312,0.4018411934375763,-0.10828558492261209,-59.21466827392578,23.447053909301758,0.0018781661055982113,-11.322931373333518,-60.16389083862305,23.637094497680664,0.0018692779121920466,-9.874768257141113,0.20274129935606464,-0.9492225646972656,0.19004058837890625,-8.888193406164646e-06,0.9680593609809875,1.4481631161924042,0.13389962911605835,0.05126399174332619,0.0934761126588412
19,0.709240672085829,0.03725934028625488,0.03595006465911865,0.03480623662471771,0.3315266966819763,0.03480623662471771,0.3315266966819763,0.03480623662471771,0.3315266966819763,0.0,0,0,0.017074596136808395,0.00011368186824256554,-0.0005311345448717475,0.3189077377319336,-0.10267594578976968,-59.163909912109375,23.436843872070312,0.0018781661055982113,-11.425607319123287,-60.15562057495117,23.63719367980957,0.0018746184650808573,-9.818495750427246,0.15125522792371876,-0.9917106628417969,0.2003498077392578,-3.5476405173540115e-06,1.0117460489273071,1.607111568696041,0.1462608277797699,0.05601383000612259,0.10214187140796485
