step,time,reference_throttle,reference_steer,policy_throttle,policy_steer,action_throttle,action_steer,predicted_delta_x,predicted_delta_y,predicted_delta_z,predicted_delta_yaw,target_yaw_step_deg,ref_x,ref_y,ref_z,ref_yaw_deg,pred_x,pred_y,pred_z,pred_yaw_deg,error_x,error_y,error_z,error_pos_l2,error_yaw_deg
10,0.5,0.15674661099910736,-0.002477645641192794,0.500153124332428,0.027808330953121185,0.12033143639564514,-0.015346726402640343,0.038983214646577835,2.7661342755891383e-05,-1.1828626156784594e-05,0.1675381064414978,-0.09160620910679995,-64.2110595703125,24.470918655395508,0.00151256553363055,-0.35397443587513067,-64.3853759765625,24.471342086791992,0.002123870886862278,0.011562639847397804,-0.17431640625,0.000423431396484375,0.0006113053532317281,0.17431798577308655,0.36553707572252847
11,0.55,0.15659324824810028,-0.002832412486895919,0.49871936440467834,0.02766379341483116,0.12033143639564514,-0.0185757614672184,0.03873736411333084,7.017108146101236e-06,0.00012513730325736105,0.1355072259902954,-0.09224468774704064,-64.17350006103516,24.470657348632812,0.00151256553363055,-0.4462191236221713,-64.34638977050781,24.471378326416016,0.0020959090907126665,0.17910073697566986,-0.17288970947265625,0.000720977783203125,0.0005833435570821166,0.17289219796657562,0.6253198605978412
12,0.6000000000000001,0.1564396172761917,-0.0029582972638309,0.4991630017757416,0.024919502437114716,0.12033143639564514,-0.02039479836821556,0.03872504457831383,-0.0001014383087749593,0.00016907771350815892,0.022633787244558334,-0.10781412474980812,-64.13285064697266,24.47030258178711,0.00151256553363055,-0.5540332483719794,-64.30765533447266,24.471506118774414,0.0021180342882871628,0.31460797786712646,-0.1748046875,0.0012035369873046875,0.0006054687546566129,0.17480987310409546,0.8686412262391059
13,0.65,0.15625983476638794,-0.003026962047442794,0.4980045557022095,0.025274578481912613,0.12033143639564514,-0.02092401310801506,0.03872861713171005,-0.00018182197527494282,0.0001810857211239636,-0.1558876931667328,-0.10759639596645343,-64.09537506103516,24.46990394592285,0.00151256553363055,-0.6616296443384613,-64.26892852783203,24.471614837646484,0.0021546934731304646,0.33724188804626465,-0.173553466796875,0.0017108917236328125,0.0006421279394999146,0.17356307804584503,0.9988715323847259
14,0.7000000000000001,0.15608090162277222,-0.0033302302472293377,0.49897247552871704,0.024077750742435455,0.12033143639564514,-0.023952633142471313,0.03871531039476395,-8.82545646163635e-05,0.00016406495706178248,-0.2121897041797638,-0.12460940084756089,-64.05482482910156,24.469392776489258,0.00151256553363055,-0.7862390451860222,-64.2302017211914,24.47165870666504,0.0021924590691924095,0.18135429918766022,-0.17537689208984375,0.00226593017578125,0.0006798935355618596,0.17539285123348236,0.9675933443736824
15,0.75,0.15587522089481354,-0.0036506648175418377,0.49822118878364563,0.02474747784435749,0.12033143639564514,-0.026669111102819443,0.038771457970142365,4.722537414636463e-05,0.00012758348020724952,-0.1203925684094429,-0.12288053640710928,-64.01744842529297,24.468839645385742,0.00151256553363055,-0.909119581593103,-64.19148254394531,24.471691131591797,0.0022213745396584272,-0.030822748318314552,-0.17403411865234375,0.0028514862060546875,0.0007088090060278773,0.1740589290857315,0.8782968332747885
16,0.8,0.1556733399629593,-0.003959655296057463,0.49989640712738037,0.02327544242143631,0.12033143639564514,-0.029818033799529076,0.0388813391327858,7.077983173076063e-05,0.00010498685878701508,-0.027590535581111908,-0.14047810306666975,-63.97700881958008,24.468149185180664,0.00151256553363055,-1.0495976846598012,-64.1527099609375,24.471717834472656,0.0022356032859534025,-0.1512145847082138,-0.17570114135742188,0.0035686492919921875,0.0007230377523228526,0.1757388710975647,0.8983830999515874
17,0.8500000000000001,0.15544793009757996,-0.0041484828107059,0.49898502230644226,0.025450361892580986,0.12033143639564514,-0.030973751097917557,0.03901257738471031,-3.2498974178452045e-07,0.00010494714661035687,-0.025610387325286865,-0.13731209262368793,-63.939735412597656,24.467422485351562,0.00151256553363055,-1.1869097772834607,-64.11382293701172,24.471683502197266,0.002240257104858756,-0.178802490234375,-0.1740875244140625,0.004261016845703125,0.0007276915712282062,0.17414118349552155,1.0081072870490857
18,0.9,0.15522289276123047,-0.004531859885901213,0.5006458163261414,0.023719152435660362,0.12033143639564514,-0.034856949001550674,0.03905957192182541,-4.934972821502015e-05,0.00011152312799822539,-0.06455566734075546,-0.15614133061410485,-63.8994255065918,24.46653175354004,0.00151256553363055,-1.3430511078975655,-64.07481384277344,24.471561431884766,0.0022445297800004482,-0.2044067233800888,-0.17538833618164062,0.0050296783447265625,0.0007319642463698983,0.17546196281909943,1.1386443845174767
19,0.9500000000000001,0.15496912598609924,-0.004714965354651213,0.5000467896461487,0.025153515860438347,0.12033143639564514,-0.03614630550146103,0.03904643654823303,-6.416854012059048e-05,0.00011753859871532768,-0.093787781894207,-0.15078808658722664,-63.862274169921875,24.465612411499023,0.00151256553363055,-1.4938391944847922,-64.03575134277344,24.471370697021484,0.0022502897772938013,-0.268951416015625,-0.1734771728515625,0.0057582855224609375,0.0007377242436632514,0.1735742837190628,1.2248877784691672
20,1.0,0.15473222732543945,-0.004829406272619963,0.5014774799346924,0.02221945859491825,0.12033143639564514,-0.03790978714823723,0.03902718797326088,-5.595362017629668e-05,0.00011925924627576023,-0.10965991765260696,-0.1711603977419145,-63.82209396362305,24.464506149291992,0.00151256553363055,-1.6649995922267067,-63.9967041015625,24.47112274169922,0.0022578048519790173,-0.3627318739891052,-0.17461013793945312,0.0066165924072265625,0.0007452393183484674,0.17473703622817993,1.3022677182376015
21,1.05,0.15446147322654724,-0.005069732200354338,0.5010104775428772,0.02363927848637104,0.12033143639564514,-0.039717767387628555,0.03902008384466171,-3.8717589632142335e-05,0.00011716951848939061,-0.10509096831083298,-0.1644823069785275,-63.78507614135742,24.463376998901367,0.00151256553363055,-1.8294818992052342,-63.95767593383789,24.4708194732666,0.002265396062284708,-0.4723815619945526,-0.17259979248046875,0.007442474365234375,0.0007528305286541581,0.17276181280612946,1.3571003372106816
22,1.1,0.1542007476091385,-0.005207061301916838,0.5022483468055725,0.020231012254953384,0.12033143639564514,-0.04180579632520676,0.03902683034539223,-3.4875949495472014e-05,0.00011612317757681012,-0.09723614901304245,-0.18591706989408863,-63.74504470825195,24.462032318115234,0.00151256553363055,-2.0153989690992944,-63.91865539550781,24.470458984375,0.0022713851649314165,-0.577484130859375,-0.17361068725585938,0.008426666259765625,0.0007588196313008666,0.1738167256116867,1.4379148382399194
23,1.1500000000000001,0.15391775965690613,-0.00531578017398715,0.501382052898407,0.021059229969978333,0.12033143639564514,-0.04257721081376076,0.039031099528074265,-4.4739375880453736e-05,0.0001192120835185051,-0.10162153095006943,-0.1778991510190906,-63.70816421508789,24.460678100585938,0.00151256553363055,-2.1932981201184134,-63.8796272277832,24.470027923583984,0.002276573097333312,-0.674713134765625,-0.1714630126953125,0.009349822998046875,0.0007640075637027621,0.17171944677829742,1.5185849853527884
24,1.2000000000000002,0.153640478849411,-0.005516051780432463,0.5026038289070129,0.018541686236858368,0.12033143639564514,-0.04500903934240341,0.0390264168381691,-4.9810427299235016e-05,0.00012261011579539627,-0.11005844920873642,-0.20007379048109897,-63.66829299926758,24.459081649780273,0.00151256553363055,-2.3933719105995124,-63.840599060058594,24.46952247619629,0.0022822951432317495,-0.776336669921875,-0.17230606079101562,0.010440826416015625,0.0007697296096011996,0.17262381315231323,1.6170352406776374
25,1.25,0.153339684009552,-0.00609397841617465,0.5013469457626343,0.01907295174896717,0.12033143639564514,-0.050077565014362335,0.039024632424116135,-5.2340525144245476e-05,0.00012453053204808384,-0.11469046026468277,-0.1901755906746132,-63.63156509399414,24.457487106323242,0.00151256553363055,-2.5835475012741256,-63.80157470703125,24.468944549560547,0.0022887038066983223,-0.886383056640625,-0.17000961303710938,0.011457443237304688,0.0007761382730677724,0.17039701342582703,1.6971644446335006
26,1.3,0.15305206179618835,-0.006196974776685238,0.502480685710907,0.01717105135321617,0.12033143639564514,-0.0514800064265728,0.039021916687488556,-6.719282828271389e-05,0.00013024032523389906,-0.13011282682418823,-0.21209150523566223,-63.59185791015625,24.45562171936035,0.00151256553363055,-2.795639006509788,-63.76255416870117,24.46828842163086,0.0022952270228415728,-1.001068115234375,-0.17069625854492188,0.012666702270507812,0.0007826614892110229,0.17116737365722656,1.7945708912754128
27,1.35,0.15273413062095642,-0.005933760665357113,0.5010765790939331,0.01756536215543747,0.12033143639564514,-0.049012504518032074,0.039006076753139496,-7.197423838078976e-05,0.00013672173372469842,-0.151998370885849,-0.2027323787411035,-63.55529022216797,24.453771591186523,0.00151256553363055,-2.9983713852508913,-63.72353744506836,24.467538833618164,0.0023031234741210938,-1.131195068359375,-0.16824722290039062,0.013767242431640625,0.0007905579404905438,0.16881141066551208,1.8671763168915163
28,1.4000000000000001,0.15243418514728546,-0.0063457484357059,0.5021911859512329,0.01566794142127037,0.12033143639564514,-0.05319474637508392,0.03899324685335159,-4.440126213012263e-05,0.00013359510921873152,-0.14366558194160461,-0.2258972730704727,-63.51576232910156,24.451622009277344,0.00151256553363055,-3.224268658321364,-63.684539794921875,24.46669578552246,0.0023125074803829193,-1.2832030057907104,-0.1687774658203125,0.015073776245117188,0.0007999419467523694,0.16945114731788635,1.9410656525306536
29,1.4500000000000002,0.1521005630493164,-0.006740569602698088,0.5007908344268799,0.016312917694449425,0.12033143639564514,-0.056586895138025284,0.03900894895195961,-3.8302452594507486e-05,0.0001297655689995736,-0.12394054979085922,-0.21277139313329485,-63.4793586730957,24.449504852294922,0.00151256553363055,-3.437040051454659,-63.64555358886719,24.465778350830078,0.0023202896118164062,-1.426879644393921,-0.16619491577148438,0.01627349853515625,0.0008077240781858563,0.1669916957616806,2.010160407060738
30,1.5,0.1517958790063858,-0.006568907760083675,0.5018137693405151,0.014791116118431091,0.12033143639564514,-0.05542238801717758,0.039015743881464005,-6.834339001215994e-05,0.0001377178996335715,-0.14035245776176453,-0.23776179549304288,-63.44001770019531,24.447059631347656,0.00151256553363055,-3.6748018469476733,-63.6065559387207,24.46476936340332,0.0023257446009665728,-1.5508118867874146,-0.16653823852539062,0.017709732055664062,0.0008131790673360229,0.16747920215129852,2.1239899601602588
31,1.55,0.15145674347877502,-0.007072447799146175,0.5005393624305725,0.015593874268233776,0.12033143639564514,-0.05975355580449104,0.038998253643512726,-7.218403334263712e-05,0.00014376839681062847,-0.16022908687591553,-0.22429480391369339,-63.40378952026367,24.44466209411621,0.00151256553363055,-3.8990966508613667,-63.56755065917969,24.46364402770996,0.0023334503639489412,-1.6911622285842896,-0.16376113891601562,0.01898193359375,0.0008208848303183913,0.16485963761806488,2.207934422277077
32,1.6,0.15113037824630737,-0.006912230513989925,0.5015090703964233,0.014274667017161846,0.12033143639564514,-0.058641403913497925,0.038992684334516525,-6.372051575453952e-05,0.00014374544844031334,-0.16207432746887207,-0.24830621287028976,-63.36463928222656,24.44190788269043,0.00151256553363055,-4.1474028637316565,-63.52857208251953,24.462421417236328,0.0023427200503647327,-1.85137939453125,-0.16393280029296875,0.020513534545898438,0.0008301545167341828,0.16521336138248444,2.2960234692004065
33,1.6500000000000001,0.1507851779460907,-0.00751304579898715,0.5005754828453064,0.015143253840506077,0.12033143639564514,-0.06383159756660461,0.038992736488580704,-5.9890298871323466e-05,0.0001435346930520609,-0.1606072187423706,-0.23437895652969587,-63.328590393066406,24.439220428466797,0.00151256553363055,-4.381781820261352,-63.48959732055664,24.461097717285156,0.0023509978782385588,-2.013458251953125,-0.16100692749023438,0.021877288818359375,0.0008384323446080089,0.16248860955238342,2.3683235683082273
34,1.7000000000000002,0.15046463906764984,-0.006980895064771175,0.5016472339630127,0.013941919431090355,0.12033143639564514,-0.05934257060289383,0.03899213671684265,-6.819051486672834e-05,0.00014752818970009685,-0.1685945987701416,-0.25807183781296317,-63.289642333984375,24.436147689819336,0.00151256553363055,-4.6398536580743155,-63.45063018798828,24.459667205810547,0.0023586272727698088,-2.174072265625,-0.16098785400390625,0.023519515991210938,0.0008460617391392589,0.16269902884960175,2.4657813924493155
35,1.75,0.15011674165725708,-0.007575987838208675,0.5008383393287659,0.014223365113139153,0.12033143639564514,-0.06462804228067398,0.03898288309574127,-5.8131372497882694e-05,0.00014784109953325242,-0.16835784912109375,-0.24407634485319818,-63.253780364990234,24.43316078186035,0.00151256553363055,-4.883930002927514,-63.41166305541992,24.458120346069336,0.0023668669164180756,-2.342681884765625,-0.1578826904296875,0.024959564208984375,0.0008543013827875257,0.1598457247018814,2.5412481181618887
36,1.8,0.14978009462356567,-0.0076103201135993,0.5016254186630249,0.012426787056028843,0.12033143639564514,-0.06538617610931396,0.03899072855710983,-5.743930523749441e-05,0.00014689253293909132,-0.1609923243522644,-0.2680895205977265,-63.21503448486328,24.429759979248047,0.00151256553363055,-5.15201952352524,-63.37271499633789,24.45646858215332,0.0023744963109493256,-2.511047601699829,-0.15768051147460938,0.026708602905273438,0.0008619307773187757,0.1599288433790207,2.640971921825411
37,1.85,0.1494312584400177,-0.007833479903638363,0.5008930563926697,0.012915107421576977,0.12033143639564514,-0.06727253645658493,0.03899227827787399,-7.414929859805852e-05,0.00015169782273005694,-0.1729619801044464,-0.2514319018537492,-63.17936706542969,24.426464080810547,0.00151256553363055,-5.403451425378989,-63.333763122558594,24.454702377319336,0.0023812102153897285,-2.672027826309204,-0.15439605712890625,0.028238296508789062,0.0008686446817591786,0.15695954859256744,2.7314235990697853
38,1.9000000000000001,0.14909370243549347,-0.00767898466438055,0.5017393231391907,0.011271377094089985,0.12033143639564514,-0.06629300862550735,0.03898051381111145,-7.935317989904433e-05,0.00015665381215512753,-0.18971672654151917,-0.27723681243045917,-63.14083480834961,24.422725677490234,0.00151256553363055,-5.68068823780942,-63.2948112487793,24.452810287475586,0.0023888396099209785,-2.845001697540283,-0.1539764404296875,0.030084609985351562,0.0008762740762904286,0.1568903923034668,2.835686540269137
39,1.9500000000000002,0.1487446427345276,-0.008102416060864925,0.5011731386184692,0.01159713976085186,0.12033143639564514,-0.07002245634794235,0.0389724038541317,-6.413133814930916e-05,0.00015517958672717214,-0.18664145469665527,-0.25943575467567825,-63.10536193847656,24.419116973876953,0.00151256553363055,-5.940123992485127,-63.255882263183594,24.450796127319336,0.0023975754156708717,-3.0347297191619873,-0.15052032470703125,0.03167915344238281,0.0008850098820403218,0.15382041037082672,2.9053942733231395
40,2.0,0.14840532839298248,-0.007942198775708675,0.5022255182266235,0.010036291554570198,0.12033143639564514,-0.0689707100391388,0.03897907957434654,-6.469715299317613e-05,0.0001548597647342831,-0.18223339319229126,-0.285012609291897,-63.06704330444336,24.4150333404541,0.00151256553363055,-6.225136601777024,-63.21696472167969,24.44866943359375,0.002405090257525444,-3.221374750137329,-0.14992141723632812,0.03363609313964844,0.0008925247238948941,0.15365095436573029,3.0037618516396947
41,2.0500000000000003,0.1480485498905182,-0.00836563017219305,0.5016654133796692,0.010011800564825535,0.12033143639564514,-0.07278771698474884,0.03897755220532417,-7.02802644809708e-05,0.00015756998618599027,-0.1869681477546692,-0.26654928552815704,-63.03177261352539,24.411102294921875,0.00151256553363055,-6.491685887305181,-63.17805099487305,24.446414947509766,0.0024117277935147285,-3.403595447540283,-0.14627838134765625,0.035312652587890625,0.0008991622598841786,0.15048307180404663,3.0880904397648976
42,2.1,0.14771848917007446,-0.008422850631177425,0.5026854872703552,0.0086984783411026,0.12033143639564514,-0.07363103330135345,0.03897591680288315,-7.617412484250963e-05,0.00016053792205639184,-0.19371724128723145,-0.291814809764702,-62.99367141723633,24.40666961669922,0.00151256553363055,-6.783500697069883,-63.13914489746094,24.44403076171875,0.0024187469389289618,-3.5905773639678955,-0.14547348022460938,0.03736114501953125,0.0009061814052984118,0.15019723773002625,3.1929233331019873
43,2.15,0.14737451076507568,-0.008256912231445312,0.5019703507423401,0.008894359692931175,0.12033143639564514,-0.07208862155675888,0.03896952047944069,-8.106037421384826e-05,0.00016397576837334782,-0.20547154545783997,-0.2727438683393473,-62.95860290527344,24.40241241455078,0.00151256553363055,-7.05624456540923,-63.10024642944336,24.441513061523438,0.0024261474609375,-3.7843027114868164,-0.14164352416992188,0.03910064697265625,0.0009135819273069501,0.14694415032863617,3.2719418539224137
44,2.2,0.14703410863876343,-0.008674620650708675,0.5031604766845703,0.007600943557918072,0.12033143639564514,-0.07617134600877762,0.038961365818977356,-6.847931945230812e-05,0.0001632066851016134,-0.20389971137046814,-0.29772955663861467,-62.92072296142578,24.397624969482422,0.00151256553363055,-7.353974122047816,-63.06136703491211,24.438859939575195,0.0024340818636119366,-3.9897780418395996,-0.14064407348632812,0.04123497009277344,0.0009215163299813867,0.14656713604927063,3.3641960802082167
45,2.25,0.14668846130371094,-0.008531569503247738,0.5023716688156128,0.008048874326050282,0.12033143639564514,-0.07477190345525742,0.038967836648225784,-6.775049405405298e-05,0.0001626899465918541,-0.19796118140220642,-0.27784194946451635,-62.885860443115234,24.39303970336914,0.00151256553363055,-7.631816071512333,-63.02250289916992,24.436080932617188,0.0024410628248006105,-4.193665504455566,-0.1366424560546875,0.043041229248046875,0.0009284972911700606,0.14326399564743042,3.4381505670567662
46,2.3000000000000003,0.14637134969234467,-0.008766173385083675,0.5035327672958374,0.006918949540704489,0.12033143639564514,-0.07716581970453262,0.03896676376461983,-7.472377183148637e-05,0.00016546386177651584,-0.2034291923046112,-0.3036718777530325,-62.84820556640625,24.38789176940918,0.00151256553363055,-7.935487949265394,-62.983642578125,24.433162689208984,0.002447280799970031,-4.3916335105896,-0.13543701171875,0.04527091979980469,0.0009347152663394809,0.14280585944652557,3.543854438675794
47,2.35,0.1460164189338684,-0.008789061568677425,0.5027238726615906,0.0074262856505811214,0.12033143639564514,-0.07724497467279434,0.0389629527926445,-7.648325845366344e-05,0.00016758493438828737,-0.20862045884132385,-0.2831806828426977,-62.81355285644531,24.38297462463379,0.00151256553363055,-8.218668632108091,-62.94479751586914,24.430105209350586,0.002453880151733756,-4.595064163208008,-0.13124465942382812,0.047130584716796875,0.0009413146181032062,0.13945372402668,3.6236044689000835
48,2.4000000000000004,0.1456974893808365,-0.009246825240552425,0.5039315819740295,0.006451960653066635,0.12033143639564514,-0.08160842955112457,0.03896195441484451,-7.573533366667107e-05,0.00016811855311971158,-0.20956900715827942,-0.30814355917704006,-62.776123046875,24.377466201782227,0.00151256553363055,-8.526812191285131,-62.90596389770508,24.42690658569336,0.0024605558719486,-4.803682327270508,-0.12984085083007812,0.04944038391113281,0.0009479903383180499,0.13893847167491913,3.7231298640146235
49,2.45,0.14534933865070343,-0.0093498220667243,0.5030704140663147,0.0069869328290224075,0.12033143639564514,-0.08240165561437607,0.03896356746554375,-8.688634261488914e-05,0.00017150150961242616,-0.21870949864387512,-0.2844639058640439,-62.741676330566406,24.372215270996094,0.00151256553363055,-8.811276097149175,-62.86714172363281,24.423568725585938,0.002466926584020257,-5.013246536254883,-0.12546539306640625,0.05135345458984375,0.0009543610503897071,0.13557158410549164,3.7980295608942924
50,2.5,0.14504215121269226,-0.008697508834302425,0.5042465329170227,0.006116131320595741,0.12033143639564514,-0.07674854248762131,0.03895007446408272,-9.268750727642328e-05,0.000176885980181396,-0.23837658762931824,-0.3130034899908196,-62.704471588134766,24.366344451904297,0.00151256553363055,-9.124279587139995,-62.82833480834961,24.420074462890625,0.0024737929925322533,-5.231967449188232,-0.12386322021484375,0.053730010986328125,0.0009612274589017034,0.1350182741880417,3.8923121379517625
