step,time,reference_dx,reference_dy,policy_throttle,policy_steer,action_throttle,action_steer,control_throttle,control_steer,control_brake,control_reverse,control_hand_brake,predicted_delta_x,predicted_delta_y,predicted_delta_z,predicted_delta_yaw,target_yaw_step_deg,ref_x,ref_y,ref_z,ref_yaw_deg,pred_x,pred_y,pred_z,pred_yaw_deg,speed_mps,stuck_steps,error_x,error_y,error_z,error_pos_l2,error_yaw_deg,current_loss,cumulative_mean_loss,total_loss
0,0.0,-0.00017547607421875,0.04188741743564606,0.03480623662471771,0.30274727940559387,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.01101064682006836,-1.5115778296603821e-05,0.00010805411147885025,0.05578552186489105,0.4533047480919947,-64.60295867919922,24.471282958984375,0.5461000204086304,0.6125027044156184,-64.64484405517578,24.471010208129883,0.5314000844955444,0.15919795632362366,0.4899999797344208,0,-0.0418853759765625,-0.0002727508544921875,-0.014699935913085938,0.04439084604382515,-0.4533047480919947,0.0002837604843080044,0.0002837604843080044,0.001163671178759032
1,0.036225867377082215,-0.000457763671875,0.037696242332458496,0.07809700071811676,0.3002459704875946,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.011410374194383621,1.4746080523764249e-05,9.822276479098946e-05,0.0464572012424469,0.43378424763983503,-64.56526184082031,24.47182846069336,0.5461000204086304,1.046286952055425,-64.64484405517578,24.471010208129883,0.49220010638237,0.15919795632362366,0.9800000786781311,0,-0.07958221435546875,-0.0008182525634765625,-0.053899914026260376,0.09612075239419937,-0.8870889957318013,0.0013284411979839206,0.0008061007829383016,0.002173297898353248
2,0.07245173475416443,-0.0007424354553222656,0.03769171983003616,0.08815520256757736,0.32086920738220215,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.013206806033849716,0.00014458296936936677,0.00016008521197363734,0.17344224452972412,0.4305435458811644,-64.52757263183594,24.472658157348633,0.5461000204086304,1.4768304979365894,-64.64484405517578,24.471010208129883,0.4285000264644623,0.15919795632362366,1.470000147819519,0,-0.11727142333984375,-0.00164794921875,-0.11759999394416809,0.16608750820159912,-1.3176325416129657,0.003959625493735075,0.0018572758417576551,0.004383622042226441
3,0.10867760213124664,-0.001026153564453125,0.03768504410982132,0.0960245206952095,0.33926090598106384,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.01910662092268467,0.0003506873908918351,0.0003909165970981121,0.5284396409988403,0.43064679150722895,-64.4898910522461,24.473772048950195,0.5461000204086304,1.9074772894438183,-64.64484405517578,24.471010208129883,0.3403000235557556,0.15919795632362366,1.9600002765655518,0,-0.1549530029296875,-0.0027618408203125,-0.20579999685287476,0.25762706995010376,-1.7482793331201947,0.009514986537396908,0.0037717032246291637,0.008631976021231126
4,0.14490346950832886,-0.0013103485107421875,0.037676259875297546,0.09779511392116547,0.30419203639030457,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.02754419669508934,-1.0122657840838656e-06,0.0004833554557990283,0.4883710443973541,0.43399383538022107,-64.45221710205078,24.475170135498047,0.5461000204086304,2.341471124824068,-64.64484405517578,24.471010208129883,0.22760009765625,0.15919795632362366,2.450000286102295,0,-0.192626953125,-0.0041599273681640625,-0.31849992275238037,0.3722427189350128,-2.182273168500444,0.01984679140150547,0.00698672141879797,0.016068768044113835
5,0.18112933688541108,-0.00159454345703125,0.037665292620658875,0.09788035601377487,0.24500739574432373,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.03485623747110367,-0.00019897786842193455,0.00034900408354587853,-0.07478424161672592,0.4341137327235174,-64.41455841064453,24.476852416992188,0.5461000204086304,2.775584857547585,-64.64484405517578,24.471010208129883,0.09040012210607529,0.15919795632362366,2.93999981880188,0,-0.23028564453125,-0.0058422088623046875,-0.4556998908519745,0.5106152892112732,-2.6163869012239616,0.0373215451836586,0.012042525224387646,0.028144166262683873
6,0.21735520426249327,-0.0018782615661621094,0.03765219449996948,0.10025817900896072,0.2030632346868515,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.0381082184612751,0.0002113958034897223,9.22388571780175e-05,-0.02172674983739853,0.427746999777213,-64.37690734863281,24.478816986083984,0.5461000204086304,3.2033318573247698,-64.64484405517578,24.471010208129883,-0.015055274590849876,0.15919795632362366,1.4242157936138784,0,-0.26793670654296875,-0.0078067779541015625,-0.5611553192138672,0.6218892931938171,-3.044133901001146,0.05535028502345085,0.018229348585009575,0.041193553170240794
7,0.2535810716395755,-0.0021619796752929688,0.03763699531555176,0.10405585914850235,0.20945678651332855,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.03919035941362381,0.0002750678395386785,-5.6394521379843354e-05,0.2591579258441925,0.4344875148685219,-64.33927917480469,24.481067657470703,0.5461000204086304,3.63781937219332,-64.64484405517578,24.471010208129883,-0.054242704063653946,0.15919795632362366,0.45133346319225315,0,-0.30556488037109375,-0.010057449340820312,-0.6003427505493164,0.6737079620361328,-3.4786214158696964,0.06497231125831604,0.02407221868634224,0.05002813412912082
8,0.2898069390166577,-0.0024461746215820312,0.037619560956954956,0.10529755055904388,0.2139374315738678,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.039307575672864914,0.00010527818085392937,-6.195071364345495e-06,0.223918616771698,0.43135566168646733,-64.3016586303711,24.483600616455078,0.5461000204086304,4.069175033879787,-64.64484405517578,24.471010208129883,-0.06193118914961815,0.15919795632362366,0.004698810633326722,0,-0.3431854248046875,-0.012590408325195312,-0.6080312132835388,0.6983098983764648,-3.9099770775561637,0.06982839852571487,0.029156237840652466,0.05623762048133488
9,0.32603280639373994,-0.0027294158935546875,0.0376000702381134,0.10598328709602356,0.21822255849838257,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.039381492882966995,0.00013876202865503728,3.1546049285680056e-05,0.2604990601539612,0.43160635922984625,-64.26406860351562,24.486417770385742,0.5461000204086304,4.500781393109634,-64.64484405517578,24.471010208129883,-0.05611903965473175,0.15919795632362366,0.17226715385919217,1,-0.38077545166015625,-0.015407562255859375,-0.6022190451622009,0.7126675844192505,-4.34158343678601,0.07276155054569244,0.033516768366098404,0.0612694607507644
10,0.36225867377082216,-0.003013134002685547,0.037578463554382324,0.10648113489151001,0.21947255730628967,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.03948970511555672,0.00016686611343175173,7.149807061068714e-05,0.3491613268852234,0.4318482107576074,-64.22649383544922,24.489517211914062,0.5461000204086304,4.932629603867241,-64.64484405517578,24.471010208129883,-0.04578327015042305,0.15919795632362366,0.21823926270011607,0,-0.4183502197265625,-0.018507003784179688,-0.5918833017349243,0.7250415682792664,-4.773431647543617,0.07534541189670563,0.0373193733394146,0.06599347839550544
11,0.3984845411479044,-0.003296375274658203,0.037554651498794556,0.10699315369129181,0.21808600425720215,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.03944399207830429,0.00014244872727431357,0.00011057955271098763,0.37194564938545227,0.4321414902776155,-64.18894958496094,24.492900848388672,0.5461000204086304,5.3647710941448565,-64.64484405517578,24.471010208129883,-0.03509483113884926,0.15919795632362366,0.20612916350365013,0,-0.45589447021484375,-0.021890640258789062,-0.5811948776245117,0.7389901876449585,-5.205573137821233,0.07830994576215744,0.04073525220155716,0.07086070664797181
12,0.43471040852498655,-0.0035791397094726562,0.03752872347831726,0.10740799456834793,0.21636484563350677,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.039242781698703766,0.00012388873437885195,0.0001402624766342342,0.35474756360054016,0.4292015888426022,-64.15142822265625,24.49656867980957,0.5461000204086304,5.793972682987487,-64.64484405517578,24.471010208129883,-0.02574913017451763,0.15919795632362366,0.17276845872404523,0,-0.49341583251953125,-0.0255584716796875,-0.5718491673469543,0.7557274103164673,-5.6347747266638635,0.08193429559469223,0.04390441253781319,0.07606684293732871
13,0.47093627590206877,-0.0038619041442871094,0.03750067949295044,0.10775085538625717,0.21494179964065552,0.11999999731779099,0.07999999821186066,0.11999999731779099,0.07999999821186066,0.0,0,0,0.039038993418216705,0.00012977002188563347,0.00015737533976789564,0.34472498297691345,0.43592152516109195,-64.11393737792969,24.500516891479492,0.5461000204086304,6.229894208148551,-64.64484405517578,24.471010208129883,-0.018229292705655098,0.15919795632362366,0.13564370572580056,0,-0.5309066772460938,-0.029506683349609375,-0.5643293261528015,0.7753709554672241,-6.070696251824927,0.08628649264574051,0.04693170636892319,0.0817409587857245
