iteration,dataset_size,train_loss,rollout_mean_pos_error,rollout_final_pos_error,termination_rate
1.0,1200.0,6.416670015084947e-05,1.842182816726466,1.570897489786148,0.0
2.0,2400.0,7.871522339542025e-06,1.5403423321309189,1.8528313040733337,0.0
3.0,3600.0,1.4524427270146134e-06,1.438371536464741,2.104855179786682,0.0
4.0,4800.0,7.501351585688099e-06,1.7071254352790612,1.1962667206923168,0.0
5.0,6000.0,4.262670166212956e-06,1.6760772336895269,2.1083312233289084,0.0
6.0,7129.0,1.0309377778412454e-05,1.7817410112921876,2.223428467909495,0.16666666666666666
7.0,8329.0,4.335016248546708e-06,1.3535864304720115,1.640419453382492,0.0
8.0,9455.0,4.232766594327586e-06,1.6743630021305203,1.746834526459376,0.16666666666666666
9.0,10655.0,4.857478097619606e-06,1.8136086516718688,1.5837496519088745,0.0
10.0,11855.0,3.8315670025212965e-06,1.4759998115183164,1.4904379944006603,0.0
