step,time,selected_model,action_throttle,action_steer,reference_linear_speed,ref_pos_x,ref_pos_y,ref_pos_z,ref_rot_0,ref_rot_1,ref_rot_2,ref_rot_3,pred_pos_x,pred_pos_y,pred_pos_z,pred_rot_0,pred_rot_1,pred_rot_2,pred_rot_3,pred_out_0,pred_out_1,pred_out_2,pred_out_3,pred_out_4,pred_out_5,pred_out_6,err_pos_x,err_pos_y,err_pos_z,err_rot_0,err_rot_1,err_rot_2,err_rot_3
1.0,0.5015368461608887,1.0,0.057500001043081284,0.0,0.1670308851103938,-0.29252901673316956,0.22305338084697723,3.818819522857666,0.0024566545616835356,-0.12420562654733658,0.00034891627728939056,0.9922533631324768,-0.30488237738609314,0.22349202632904053,3.8722903728485107,-0.00304804602637887,-0.13184823095798492,0.002588731935247779,0.991261899471283,0.0044749402441084385,-1.1285539585514925e-05,3.4588538699864557e-09,-0.0015726827550679445,-0.14302347600460052,0.0008821953670121729,0.9869036078453064,-0.012353360652923584,0.00043864548206329346,0.05347084999084473,-0.005504700355231762,-0.007642604410648346,0.0022398156579583883,-0.0009914636611938477
2.0,0.5516831874847412,1.0,0.05833333358168602,0.0,0.2878097179052138,-0.2890046536922455,0.22299855947494507,3.8060660362243652,0.002878529718145728,-0.12313134968280792,-0.0006537138833664358,0.992385983467102,-0.3003174066543579,0.22351033985614777,3.8722903728485107,-0.0028798505663871765,-0.13341115415096283,0.0024001682177186012,0.9910537004470825,0.004565006121993065,-9.763367415871471e-06,3.5198033376815374e-09,-0.0016440364997833967,-0.14467231929302216,0.0010158481309190392,0.9881530404090881,-0.011312752962112427,0.0005117803812026978,0.06622433662414551,-0.005758380517363548,-0.010279804468154907,0.003053882159292698,-0.0013322830200195312
3.0,0.6019015312194824,1.0,0.059166666120290756,0.0,0.3911301510098488,-0.28527992963790894,0.22282811999320984,3.7939140796661377,0.00371198239736259,-0.12209886312484741,-0.0010090444702655077,0.9925105571746826,-0.2957693636417389,0.22352537512779236,3.8722903728485107,-0.002724521793425083,-0.1346643716096878,0.002230946207419038,0.9908850193023682,0.004548056982457638,-1.102741589420475e-05,3.44847506106305e-09,-0.0015811636112630367,-0.14347179234027863,0.0009872844675555825,0.987011730670929,-0.010489434003829956,0.0006972551345825195,0.07837629318237305,-0.006436504423618317,-0.012565508484840393,0.0032399906776845455,-0.0016255378723144531
4.0,0.6520636081695557,1.0,0.05999999865889549,0.0,0.1689656934245338,-0.2816508412361145,0.222540944814682,3.780787944793701,0.0043818531557917595,-0.12031257897615433,-0.001306668040342629,0.9927256107330322,-0.29122859239578247,0.22354060411453247,3.8722903728485107,-0.002604864304885268,-0.13560184836387634,0.0020794959273189306,0.9907578229904175,0.004540782887488604,-9.063736797543243e-06,3.575542972811263e-09,-0.0017255737911909819,-0.14233040809631348,0.000967831292655319,0.9888073205947876,-0.009577751159667969,0.0009996592998504639,0.09150242805480957,-0.006986717693507671,-0.015289269387722015,0.0033861640840768814,-0.001967787742614746
5.0,0.7022356986999512,1.0,0.06083333492279053,0.0,0.3314795376354204,-0.2780861258506775,0.22250644862651825,3.7670609951019287,0.005253147799521685,-0.1192009374499321,-0.0004246905446052551,0.9928562045097351,-0.2867116928100586,0.22355397045612335,3.8722903728485107,-0.0025022816844284534,-0.136373832821846,0.0019393626134842634,0.9906524419784546,0.004516900517046452,-9.26814664126141e-06,3.585183927512503e-09,-0.001749181654304266,-0.14196918904781342,0.000911274051759392,0.9894202947616577,-0.008625566959381104,0.0010475218296051025,0.10522937774658203,-0.007755429483950138,-0.01717289537191391,0.0023640531580895185,-0.0022037625312805176
6.0,0.7523841857910156,1.0,0.061666667461395264,0.0,0.282112875170203,-0.27476441860198975,0.22237665951251984,3.752563953399658,0.005381602328270674,-0.11759438365697861,0.0009739366360008717,0.9930467009544373,-0.28215932846069336,0.22356630861759186,3.8722903728485107,-0.0024184100329875946,-0.13681475818157196,0.001822030870243907,0.9905920624732971,0.004552365746349096,-9.057250281330198e-06,3.5803726650129875e-09,-0.001801732461899519,-0.13992293179035187,0.0009607323445379734,0.9892628192901611,-0.007394909858703613,0.0011896491050720215,0.11972641944885254,-0.007800012361258268,-0.019220374524593353,0.0008480942342430353,-0.0024546384811401367
7.0,0.8525419235229492,1.0,0.0625,0.0,0.3382741463724777,-0.26637139916419983,0.2222926765680313,3.721475601196289,0.0038487573619931936,-0.11532030999660492,0.0004646613961085677,0.993320882320404,-0.27761828899383545,0.22357730567455292,3.8722903728485107,-0.002347528701648116,-0.13722474873065948,0.0017131506465375423,0.9905356764793396,0.00454105157405138,-9.15771488507744e-06,3.6082845600304836e-09,-0.0018273214809596539,-0.1402001827955246,0.0009144870564341545,0.9899020195007324,-0.01124688982963562,0.0012846291065216064,0.15081477165222168,-0.00619628606364131,-0.021904438734054565,0.0012484892504289746,-0.002785205841064453
8.0,0.9027032852172852,1.0,0.06333333253860474,0.0,0.342066719210619,-0.2620786130428314,0.2224426418542862,3.7048332691192627,0.0027498817071318626,-0.11373472213745117,0.0010165575658902526,0.993506908416748,-0.27308160066604614,0.22358784079551697,3.8722903728485107,-0.0022941434290260077,-0.13749150931835175,0.0016151953022927046,0.9904990196228027,0.004536706488579512,-8.504064680892043e-06,3.6883671672427454e-09,-0.0019043975044041872,-0.13957582414150238,0.0008976777317002416,0.9911400675773621,-0.011002987623214722,0.001145198941230774,0.16745710372924805,-0.005044025368988514,-0.023756787180900574,0.000598637736402452,-0.0030078887939453125
9.0,0.9528560638427734,1.0,0.06416666507720947,0.0,0.3781593400213062,-0.2579098343849182,0.2221900373697281,3.687819004058838,0.0020982585847377777,-0.11128860712051392,0.0021935279946774244,0.9937835335731506,-0.26850345730781555,0.22359657287597656,3.8722903728485107,-0.002241297625005245,-0.13781513273715973,0.0015354313654825091,0.9904542565345764,0.00457812799140811,-9.493927791481838e-06,3.6191940555596602e-09,-0.0018535368144512177,-0.14017142355442047,0.0009503790643066168,0.9900066256523132,-0.010593622922897339,0.0014065355062484741,0.18447136878967285,-0.004339556209743023,-0.026526525616645813,-0.0006580966291949153,-0.0033292770385742188
10.0,1.0030441284179688,1.0,0.06499999761581421,0.0,0.3471495087059719,-0.2537904679775238,0.22202946245670319,3.670496940612793,0.0019197057699784636,-0.10942453145980835,0.0029207118786871433,0.9939889907836914,-0.2639122009277344,0.2236042022705078,3.8722903728485107,-0.002194559434428811,-0.13807006180286407,0.0014654876431450248,0.9904189705848694,0.004591240081936121,-9.839615813689306e-06,3.5784319951659427e-09,-0.0018505505286157131,-0.13984422385692596,0.0009519170271232724,0.9894856810569763,-0.010121732950210571,0.0015747398138046265,0.20179343223571777,-0.004114265087991953,-0.028645530343055725,-0.0014552242355421185,-0.0035700201988220215
11.0,1.053220510482788,1.0,0.06583333015441895,0.0,0.3839639013883024,-0.24890005588531494,0.2218695431947708,3.6525156497955322,0.0026101521216332912,-0.10812917351722717,0.0015663034282624722,0.9941322207450867,-0.2593558132648468,0.2236122339963913,3.8722903728485107,-0.0021701401565223932,-0.13782864809036255,0.0013967426493763924,0.990452766418457,0.004556392319500446,-8.59016836329829e-06,3.638777945624838e-09,-0.001991367433220148,-0.13607895374298096,0.0008927466114982963,0.9908517599105835,-0.01045575737953186,0.0017426908016204834,0.21977472305297852,-0.004780292510986328,-0.029699474573135376,-0.0001695607788860798,-0.0036794543266296387
12.0,1.103299617767334,1.0,0.06666667014360428,0.0,0.3954410741653801,-0.24390378594398499,0.22191889584064484,3.6339879035949707,0.0024301179219037294,-0.10663789510726929,-0.00026514052296988666,0.9942949414253235,-0.25479650497436523,0.22361963987350464,3.8722903728485107,-0.0021522659808397293,-0.1375754177570343,0.0013347077183425426,0.9904880523681641,0.004559316206723452,-8.5396441136254e-06,3.652319335856191e-09,-0.002021939028054476,-0.13576871156692505,0.0008801096701063216,0.9911145567893982,-0.010892719030380249,0.0017007440328598022,0.23830246925354004,-0.004582383669912815,-0.030937522649765015,0.0015998482704162598,-0.003806889057159424
