episode,steps,episode_reward,avg_pos_error,actor_loss,critic_loss,alpha
1.0,141.0,-720.7269401374433,2.2509454260481165,0.0,0.0,0.09999999403953552
2.0,122.0,-618.4878793137536,2.045275674491632,0.0,0.0,0.09999999403953552
3.0,161.0,-1834.7606623484703,2.0400948461538517,0.0,0.0,0.09999999403953552
4.0,200.0,-936.4144497639472,1.595927473306656,3.4646996970176698,119.32343121337891,0.09875574707984924
5.0,200.0,-986.0261798864025,1.5718447223305703,4.999243741035461,73.08335363388062,0.09680336713790894
6.0,200.0,-2264.3744664081955,2.1515331608057022,6.429618608951569,57.96858983039856,0.09490710496902466
7.0,148.0,-862.8020135232114,2.4099136518465505,7.667192347049713,55.03155926704407,0.0935402661561966
8.0,200.0,-959.1767267644306,1.3774579134583473,9.095058205127716,38.81171567440033,0.09170039743185043
9.0,200.0,-1171.8672684418955,2.301368396282196,10.295012674331666,31.411875731945038,0.08993268758058548
10.0,200.0,-1043.0207143051834,2.134682877957821,11.53507351398468,23.303938112258912,0.0882188081741333
11.0,200.0,-1253.2358491260939,2.002436701655388,12.903986043930054,21.530038492679594,0.08656837046146393
12.0,200.0,-4143.405263878573,2.844895540177822,14.643349137306213,27.06254583120346,0.08492232859134674
13.0,148.0,-1642.461788612322,2.3781547196008064,16.056301455497742,39.97052988529205,0.08370091021060944
14.0,133.0,-1409.4725690202865,2.1666613297354904,17.193567066192628,35.679070205688475,0.08260514587163925
15.0,145.0,-1099.9554985976047,2.2445246869120106,18.299445638656618,31.111152558326722,0.08143234252929688
16.0,200.0,-1147.0670169303278,1.838601444065571,20.05275376319885,24.71307847738266,0.07991459220647812
17.0,200.0,-2869.5953069387874,2.6724660778045655,21.707827110290527,22.35935520172119,0.07843339443206787
18.0,200.0,-1193.582837470731,1.999849774837494,23.507262077331543,21.307912006378174,0.07707741856575012
19.0,156.0,-1098.5414600979682,2.053270325828821,24.86188241958618,20.65872436285019,0.07609768211841583
20.0,200.0,-1101.862014184733,1.792249705195427,26.24716293334961,19.031133642196654,0.07483140379190445
21.0,200.0,-894.7503640831735,1.6359856396913528,27.42621477127075,19.549424912929535,0.07354291528463364
22.0,200.0,-1131.5185127114146,1.6422638982534408,28.96890209197998,19.99180711746216,0.07223853468894958
23.0,149.0,-1226.5107504818213,2.145576872681611,29.896421327590943,20.665224429368973,0.07126365602016449
24.0,93.0,-1103.734634731391,2.3376671210412057,30.518904190063477,20.2996016061306,0.07066793739795685
25.0,200.0,-2716.4247607143125,2.342288861870766,32.63936840057373,19.75811016201973,0.06940274685621262
26.0,142.0,-1698.6259082390607,2.419124332007388,34.1803351688385,21.61693518400192,0.06855402886867523
27.0,200.0,-882.0706359709698,1.3435985432565212,35.656454715728756,23.96237730026245,0.06737879663705826
28.0,200.0,-983.1098148670816,1.369414483308792,36.711960525512694,21.058813409805296,0.06622236967086792
29.0,189.0,-1357.6904956744381,1.9694989692597162,37.58948333740234,22.24778821825981,0.06513091921806335
30.0,200.0,-798.768366835995,1.4509788242727517,38.75750396728515,21.963478726148605,0.06402274966239929
31.0,148.0,-1217.767638909881,2.3927522329865276,39.898656368255615,24.383427320718766,0.06322031468153
32.0,200.0,-1203.7474480220637,2.2673935508728027,41.37263092041016,28.134333900213242,0.062173031270504
33.0,200.0,-1302.9459874792642,2.2570616593956947,42.92271406173706,30.264019753932953,0.06117958575487137
34.0,181.0,-1233.1104404889077,1.9867019663199534,43.78483880996704,28.18587217926979,0.06031634286046028
35.0,149.0,-922.6447049821846,2.254239232948162,45.1312017250061,29.957498173713685,0.05961858108639717
36.0,200.0,-1177.5745778394662,1.1543045043945312,45.8764398765564,33.55808033704758,0.05872133746743202
37.0,200.0,-986.8646743666042,2.035924012362957,46.90464761734009,30.996612644195558,0.05787743628025055
38.0,200.0,-2950.5114107018403,2.3262601965665817,48.39497819900512,32.371188467741014,0.05702657997608185
39.0,200.0,-1065.8431579773994,1.6870458178222179,50.35985389709472,38.91365741848946,0.056211404502391815
40.0,146.0,-1950.8201411227303,1.915059160696317,50.73856132507324,42.09578107118607,0.05561447516083717
41.0,200.0,-1241.6831572397657,2.4339983943104744,51.72823314666748,39.32285522460938,0.05484798178076744
42.0,200.0,-2202.153594421397,2.2700829711556434,52.94529710769653,47.783226861953736,0.05412745103240013
43.0,200.0,-2510.5469797056653,2.1510768508911133,54.95160026550293,42.88254293680191,0.05342264100909233
44.0,200.0,-1460.393989663652,2.135046403706074,56.11209966659546,48.55924813747406,0.05267718806862831
45.0,200.0,-930.5967304036548,1.790241800546646,57.169198188781735,57.673812136650085,0.05197407305240631
46.0,200.0,-1704.313987046088,2.41916450381279,59.18123414993286,59.577476978302,0.05133403092622757
47.0,200.0,-1193.795439930857,2.564717867076397,60.21537309646607,61.22013993501663,0.050772104412317276
48.0,109.0,-598.736609246699,2.115892596747897,60.691700534820555,64.78806375026703,0.05046362802386284
49.0,200.0,-757.1014842055054,1.321028982400894,61.39893333435059,70.45312684297562,0.04989626258611679
50.0,200.0,-889.9819449518145,1.5383417157363146,61.88888820648194,69.94451790571213,0.04929974302649498
51.0,200.0,-359.5810212291583,1.4490540884435177,63.03810573577881,62.412055594921114,0.048847317695617676
52.0,120.0,-435.5612862108179,1.7951839442054431,63.223909549713134,72.76283591985703,0.04859668388962746
53.0,89.0,-381.79190723889246,2.001675825440482,63.34466199874878,73.2494247174263,0.048384737223386765
54.0,132.0,-1352.4534105011949,2.0683869633710747,63.982888526916504,75.21465487957,0.04808945953845978
55.0,200.0,-501.01026913707403,1.4176271671056748,65.2466463470459,72.3310983967781,0.047590021044015884
56.0,200.0,-953.4441285071496,1.9593126194179058,65.67417579650879,86.72440210103989,0.0471501387655735
57.0,200.0,-926.5191442348438,1.904586940407753,66.69474376678467,78.3426488161087,0.04677373170852661
58.0,155.0,-1950.904381526573,2.049170768645502,67.5507328414917,83.98655959129333,0.04658433794975281
59.0,107.0,-1188.8829316791998,2.2029118930625025,68.72030220031738,80.55187578916549,0.046475231647491455
60.0,200.0,-1748.1755965488092,2.2113887056708337,70.4203797531128,103.1187206029892,0.04630196839570999
