epoch,train_loss
1.0,0.016080425556538103
2.0,0.010292464497524634
3.0,0.0029715597049033704
4.0,0.0022559880083861117
5.0,0.0016692408971152872
6.0,0.0012946043145234398
7.0,0.00041817182264480834
8.0,0.0009447598999088314
9.0,0.0004648012128143364
10.0,0.0015465928498628045
11.0,0.0004350848812464392
12.0,0.0003439856294846777
13.0,0.0004168256369325718
14.0,0.0005654384955917635
15.0,0.0015570823205237616
16.0,0.0007015128841860729
17.0,0.0004550814863009123
18.0,0.0007086646049287992
19.0,0.0006729548892678849
20.0,0.0002856762388887546
21.0,0.0003625547084027403
22.0,0.00030382280058915967
23.0,0.00041150452630489553
24.0,0.0005184494803813777
25.0,0.0006498737925255682
26.0,0.00044073781627673725
27.0,0.00023466860901422137
28.0,0.00015179441541746108
29.0,0.0003683156515457142
30.0,0.00021678867906871346
