episode,steps,episode_reward,avg_pos_error,action_saturation_rate,actor_loss,critic_loss,alpha
1.0,46.0,-8.723634221091732,0.7654374526894611,1.0,0.0,0.0,0.09999999403953552
2.0,33.0,-8.947145278493753,0.8688239238478921,1.0,0.0,0.0,0.09999999403953552
3.0,96.0,-26.342947743875104,1.196530784169833,0.9895833333333334,0.0,0.0,0.09999999403953552
4.0,14.0,-2.9391392197016177,0.30280368668692453,1.0,0.0,0.0,0.09999999403953552
5.0,109.0,-30.488609774988223,1.1770368459027842,0.9908256880733946,0.0,0.0,0.09999999403953552
6.0,52.0,-8.025394787221357,0.6214081530387585,0.9615384615384616,0.0,0.0,0.09999999403953552
7.0,54.0,-13.639600541770747,0.9102469274291286,0.9444444444444444,0.0,0.0,0.09999999403953552
8.0,48.0,-9.216962359391319,0.6634459408620993,0.9166666666666666,0.0,0.0,0.09999999403953552
9.0,78.0,-15.41589894213973,0.8974577012734536,0.8974358974358975,0.0,0.0,0.09999999403953552
10.0,20.0,-3.887161100039241,0.523270121216774,1.0,0.0,0.0,0.09999999403953552
11.0,65.0,-46.844049573814644,0.6428041215126331,0.9846153846153847,0.0,0.0,0.09999999403953552
12.0,24.0,-5.263552695893143,0.38052782230079174,0.9583333333333334,0.0,0.0,0.09999999403953552
13.0,50.0,-8.049843429365305,0.48621281862258914,0.98,0.0,0.0,0.09999999403953552
14.0,82.0,-19.614008165682222,1.085992569967014,0.9634146341463414,0.0,0.0,0.09999999403953552
15.0,53.0,-6.96138783912137,0.42731138332834784,0.9811320754716981,0.0,0.0,0.09999999403953552
16.0,29.0,-6.48550574715396,0.3467543402622486,0.7931034482758621,0.0,0.0,0.09999999403953552
17.0,41.0,-7.7196439014938285,0.6373418874856902,1.0,0.0,0.0,0.09999999403953552
18.0,55.0,-8.62406616943086,0.4441711344502189,1.0,0.0,0.0,0.09999999403953552
19.0,97.0,-28.655608251502755,1.1943924506914985,0.7835051546391752,0.9997796923556226,0.6619198810546956,0.09993023425340652
20.0,116.0,-37.03726238777591,1.2088936495369877,0.3620689655172414,0.5813739515521044,0.2092526747382309,0.0963815376162529
21.0,73.0,-19.56862692246731,0.97582394782811,0.3424657534246575,0.4395714619755745,0.025569017366506158,0.09432496875524521
22.0,32.0,-8.014645232087663,0.7210746556520462,0.4375,0.4550796383619308,0.019956558751873674,0.0934528335928917
23.0,41.0,-9.595196136066514,0.6228618331071807,0.2926829268292683,0.48209151312708853,0.018053032462485134,0.09234882146120071
24.0,54.0,-8.65753403485717,0.7335470771348035,0.42592592592592593,0.5094575127959251,0.01715769711881876,0.09091918915510178
25.0,52.0,-9.20757840356849,0.7720554092755685,0.34615384615384615,0.527702306509018,0.016624864768236877,0.08956236392259598
26.0,50.0,-9.364834813182993,0.9314683473110199,0.48,0.5402441853284836,0.016053749527782202,0.0882662683725357
27.0,47.0,-10.562045799394454,0.762533205620786,0.3404255319148936,0.549254158437252,0.015569068659096956,0.08706991374492645
28.0,21.0,-3.7680308035765524,0.661613384882609,0.42857142857142855,0.5538448260724544,0.015562781356275082,0.08653940260410309
29.0,22.0,-5.000608912473813,0.33783946524966846,0.36363636363636365,0.558694961220026,0.015452254260890187,0.08598695695400238
30.0,37.0,-9.366565077446284,0.8911740586564347,0.43243243243243246,0.5657703176140785,0.015444652610458433,0.08506523072719574
31.0,65.0,-8.106748323673193,0.5628749764882601,0.3230769230769231,0.5815449619293213,0.015664918054826556,0.08347108960151672
32.0,53.0,-39.55241058507849,0.576015497715968,0.37735849056603776,0.5956635764241218,0.01591471632011235,0.08219035714864731
33.0,36.0,-7.861748884881994,0.7681182887819078,0.3611111111111111,0.6077104997634888,0.016103246533311903,0.0813298225402832
34.0,14.0,-4.201203644555206,0.5339211182934898,0.35714285714285715,0.613031313419342,0.016110553545877336,0.08099864423274994
35.0,38.0,-6.186744848886781,0.40160782635211945,0.4473684210526316,0.6279886654019355,0.016424436173401773,0.08010097593069077
36.0,45.0,-8.048312231455284,0.7243113928371006,0.37777777777777777,0.641602463722229,0.01661318754311651,0.07904352247714996
37.0,43.0,-7.025276614957724,0.42573860668858815,0.3023255813953488,0.6536147436499595,0.01673556834924966,0.07804174721240997
38.0,87.0,-23.075135172140552,1.1192384170389724,0.3333333333333333,0.6692217871546745,0.017470546662807465,0.07604019343852997
39.0,63.0,-21.496938996144767,1.3586211053151933,0.2698412698412698,0.6777443426847458,0.017851212564855813,0.0746193453669548
40.0,46.0,-10.910933550213192,0.9388526444849761,0.391304347826087,0.687181787788868,0.018797651608474554,0.07359638065099716
41.0,38.0,-6.173262667309466,0.41486624589091853,0.47368421052631576,0.6954100719094276,0.01909631152637303,0.0727631151676178
42.0,53.0,-9.410237034063364,0.7767986958881594,0.33962264150943394,0.706162029504776,0.020364269856363536,0.0716158002614975
43.0,54.0,-12.858382450407943,0.9425937180165891,0.35185185185185186,0.7194941681623459,0.021026546077337116,0.07046195864677429
44.0,28.0,-4.540422508614554,0.6097753729139056,0.4642857142857143,0.7242508348822594,0.020658111402299256,0.06987259536981583
45.0,47.0,-32.89804775523228,0.781683456390462,0.5957446808510638,0.7348649236559868,0.021088373311795295,0.06888753175735474
46.0,57.0,-12.934413434829636,0.8579145408513253,0.3684210526315789,0.7505742663145065,0.021896253917366267,0.06770974397659302
47.0,54.0,-8.98728894846885,0.7570894481959166,0.3888888888888889,0.7647911483049392,0.022821511311922223,0.06661009043455124
48.0,59.0,-19.095522568723617,0.6076777981499494,0.23728813559322035,0.7802696669101715,0.025397778283804656,0.06542344391345978
49.0,55.0,-8.830880790418693,0.6241541017185558,0.2727272727272727,0.7934359520673752,0.025942166382446886,0.06433518975973129
50.0,56.0,-8.37756765815914,0.6213320179709366,0.32142857142857145,0.8040165439248085,0.02658914328087121,0.06325127929449081
51.0,66.0,-20.245560874401345,1.2528666853904724,0.4090909090909091,0.8187610253691673,0.027953949109651148,0.062003906816244125
52.0,61.0,-15.504910425078887,1.1271363770375487,0.39344262295081966,0.8303113928437234,0.02847568872850388,0.06087883934378624
53.0,69.0,-17.50346119498507,1.1575227578481038,0.37681159420289856,0.8455542987585067,0.029741394030861557,0.05962755158543587
54.0,59.0,-17.407887292250976,1.2673436554811768,0.3389830508474576,0.8582691439986229,0.029498374173417687,0.05857901647686958
55.0,50.0,-10.453461212204656,0.77586266040802,0.36,0.871449569761753,0.02889993105549365,0.05770399421453476
56.0,74.0,-15.182915268486974,0.8711779935134424,0.40540540540540543,0.8917755156755447,0.030124155641533434,0.05644851177930832
57.0,53.0,-11.783674175504677,0.8662883470643241,0.41509433962264153,0.9049462893605232,0.03020782305393368,0.05556608363986015
58.0,90.0,-18.056451211121555,0.9033227648999956,0.32222222222222224,0.925494883954525,0.03087251290678978,0.05409419164061546
59.0,49.0,-7.60004711849963,0.6351800551828073,0.30612244897959184,0.9355784049630165,0.029944512373767794,0.05330958217382431
60.0,56.0,-13.839547895287815,0.9185092209705285,0.35714285714285715,0.9444828140735626,0.029044234924949706,0.05242462828755379
61.0,89.0,-45.162451878522894,1.0421414448973838,0.3258426966292135,0.9744459283351898,0.02921151296235621,0.051050737500190735
62.0,39.0,-25.713141068474073,0.6084434328935086,0.41025641025641024,0.9916220560669899,0.028580109300091864,0.05046526715159416
63.0,42.0,-13.330627919949597,0.8156896148409162,0.30952380952380953,1.0091497483849525,0.029849485359154642,0.049835462123155594
